time,kind,id,x,y
0.0000,agent,agent_00,0.200000,0.444444
0.0000,agent,agent_01,0.200000,1.333333
0.0000,agent,agent_02,0.200000,2.222222
0.0000,agent,agent_03,0.200000,3.111111
0.0000,agent,agent_04,0.200000,4.000000
0.0000,agent,agent_05,0.200000,4.888889
0.0000,agent,agent_06,0.200000,5.777778
0.0000,agent,agent_07,0.200000,6.666667
0.0000,agent,agent_08,0.200000,7.555556
0.0000,agent,agent_09,7.800000,0.444444
0.0000,agent,agent_10,7.800000,1.333333
0.0000,agent,agent_11,7.800000,2.222222
0.0000,agent,agent_12,7.800000,3.111111
0.0000,agent,agent_13,7.800000,4.000000
0.0000,agent,agent_14,7.800000,4.888889
0.0000,agent,agent_15,7.800000,5.777778
0.0000,agent,agent_16,7.800000,6.666667
0.0000,agent,agent_17,7.800000,7.555556
0.0000,cargo,cargo_0,4.000000,4.000000
0.0500,agent,agent_00,0.215000,0.444444
0.0500,agent,agent_01,0.215000,1.333333
0.0500,agent,agent_02,0.215000,2.222222
0.0500,agent,agent_03,0.215000,3.111111
0.0500,agent,agent_04,0.215000,4.000000
0.0500,agent,agent_05,0.215000,4.888889
0.0500,agent,agent_06,0.215000,5.777778
0.0500,agent,agent_07,0.215000,6.666667
0.0500,agent,agent_08,0.215000,7.555556
0.0500,agent,agent_09,7.785000,0.444444
0.0500,agent,agent_10,7.785000,1.333333
0.0500,agent,agent_11,7.785000,2.222222
0.0500,agent,agent_12,7.785000,3.111111
0.0500,agent,agent_13,7.785000,4.000000
0.0500,agent,agent_14,7.785000,4.888889
0.0500,agent,agent_15,7.785000,5.777778
0.0500,agent,agent_16,7.785000,6.666667
0.0500,agent,agent_17,7.785000,7.555556
0.0500,cargo,cargo_0,4.000000,4.000000
0.1000,agent,agent_00,0.230000,0.444444
0.1000,agent,agent_01,0.230000,1.333333
0.1000,agent,agent_02,0.230000,2.222222
0.1000,agent,agent_03,0.230000,3.111111
0.1000,agent,agent_04,0.230000,4.000000
0.1000,agent,agent_05,0.230000,4.888889
0.1000,agent,agent_06,0.230000,5.777778
0.1000,agent,agent_07,0.230000,6.666667
0.1000,agent,agent_08,0.230000,7.555556
0.1000,agent,agent_09,7.770000,0.444444
0.1000,agent,agent_10,7.770000,1.333333
0.1000,agent,agent_11,7.770000,2.222222
0.1000,agent,agent_12,7.770000,3.111111
0.1000,agent,agent_13,7.770000,4.000000
0.1000,agent,agent_14,7.770000,4.888889
0.1000,agent,agent_15,7.770000,5.777778
0.1000,agent,agent_16,7.770000,6.666667
0.1000,agent,agent_17,7.770000,7.555556
0.1000,cargo,cargo_0,4.000000,4.000000
0.1500,agent,agent_00,0.245000,0.444444
0.1500,agent,agent_01,0.245000,1.333333
0.1500,agent,agent_02,0.245000,2.222222
0.1500,agent,agent_03,0.245000,3.111111
0.1500,agent,agent_04,0.245000,4.000000
0.1500,agent,agent_05,0.245000,4.888889
0.1500,agent,agent_06,0.245000,5.777778
0.1500,agent,agent_07,0.245000,6.666667
0.1500,agent,agent_08,0.245000,7.555556
0.1500,agent,agent_09,7.755000,0.444444
0.1500,agent,agent_10,7.755000,1.333333
0.1500,agent,agent_11,7.755000,2.222222
0.1500,agent,agent_12,7.755000,3.111111
0.1500,agent,agent_13,7.755000,4.000000
0.1500,agent,agent_14,7.755000,4.888889
0.1500,agent,agent_15,7.755000,5.777778
0.1500,agent,agent_16,7.755000,6.666667
0.1500,agent,agent_17,7.755000,7.555556
0.1500,cargo,cargo_0,4.000000,4.000000
0.2000,agent,agent_00,0.260000,0.444444
0.2000,agent,agent_01,0.260000,1.333333
0.2000,agent,agent_02,0.260000,2.222222
0.2000,agent,agent_03,0.260000,3.111111
0.2000,agent,agent_04,0.260000,4.000000
0.2000,agent,agent_05,0.260000,4.888889
0.2000,agent,agent_06,0.260000,5.777778
0.2000,agent,agent_07,0.260000,6.666667
0.2000,agent,agent_08,0.260000,7.555556
0.2000,agent,agent_09,7.740000,0.444444
0.2000,agent,agent_10,7.740000,1.333333
0.2000,agent,agent_11,7.740000,2.222222
0.2000,agent,agent_12,7.740000,3.111111
0.2000,agent,agent_13,7.740000,4.000000
0.2000,agent,agent_14,7.740000,4.888889
0.2000,agent,agent_15,7.740000,5.777778
0.2000,agent,agent_16,7.740000,6.666667
0.2000,agent,agent_17,7.740000,7.555556
0.2000,cargo,cargo_0,4.000000,4.000000
0.2500,agent,agent_00,0.275000,0.444444
0.2500,agent,agent_01,0.275000,1.333333
0.2500,agent,agent_02,0.275000,2.222222
0.2500,agent,agent_03,0.275000,3.111111
0.2500,agent,agent_04,0.275000,4.000000
0.2500,agent,agent_05,0.275000,4.888889
0.2500,agent,agent_06,0.275000,5.777778
0.2500,agent,agent_07,0.275000,6.666667
0.2500,agent,agent_08,0.275000,7.555556
0.2500,agent,agent_09,7.725000,0.444444
0.2500,agent,agent_10,7.725000,1.333333
0.2500,agent,agent_11,7.725000,2.222222
0.2500,agent,agent_12,7.725000,3.111111
0.2500,agent,agent_13,7.725000,4.000000
0.2500,agent,agent_14,7.725000,4.888889
0.2500,agent,agent_15,7.725000,5.777778
0.2500,agent,agent_16,7.725000,6.666667
