case_id,search_frames,map_frames,enclose_frames,contact_frames,transport_frames,brake_frames
circle__seed_000,136,132.0,,,25.0,20.0
rectangle__seed_000,0,268.0,,,79.0,17.0
ellipse24__seed_000,0,268.0,74.0,,49.0,14.0
l_shape__seed_000,34,234.0,36.0,,31.0,53.0
u_shape__seed_000,136,132.0,,,31.0,20.0
c_shape__seed_000,0,268.0,,,34.0,20.0
star10__seed_000,0,268.0,,,37.0,20.0
convex_random__seed_000,0,268.0,,,88.0,11.0
concave_random7__seed_000,148,120.0,,,28.0,17.0
concave_random15__seed_000,0,268.0,56.0,,49.0,71.0
high_aspect__seed_000,0,268.0,,,49.0,23.0
polygon32__seed_000,49,219.0,,,142.0,
circle__seed_001,0,268.0,,,124.0,11.0
rectangle__seed_001,0,268.0,,,37.0,20.0
ellipse24__seed_001,0,268.0,70.0,124.0,169.0,11.0
l_shape__seed_001,130,138.0,,,58.0,14.0
u_shape__seed_001,0,268.0,57.0,,19.0,32.0
c_shape__seed_001,0,268.0,,,70.0,14.0
star10__seed_001,0,268.0,65.0,,112.0,11.0
convex_random__seed_001,127,141.0,,,19.0,32.0
concave_random7__seed_001,0,268.0,62.0,,112.0,14.0
concave_random15__seed_001,0,268.0,65.0,,22.0,44.0
high_aspect__seed_001,112,156.0,,,85.0,35.0
polygon32__seed_001,136,132.0,,,58.0,14.0
circle__seed_002,0,268.0,89.0,,181.0,17.0
rectangle__seed_002,61,207.0,30.0,,34.0,14.0
ellipse24__seed_002,148,120.0,,,61.0,29.0
l_shape__seed_002,0,268.0,49.0,,148.0,11.0
u_shape__seed_002,0,268.0,,,142.0,11.0
c_shape__seed_002,31,237.0,,,19.0,35.0
star10__seed_002,133,135.0,,,43.0,17.0
convex_random__seed_002,0,268.0,68.0,180.0,307.0,14.0
concave_random7__seed_002,0,268.0,49.0,,88.0,11.0
concave_random15__seed_002,58,210.0,,,139.0,11.0
high_aspect__seed_002,136,132.0,,,25.0,20.0
polygon32__seed_002,0,268.0,,,34.0,29.0
circle__seed_003,0,268.0,26.0,,112.0,65.0
rectangle__seed_003,133,135.0,,,31.0,20.0
ellipse24__seed_003,0,268.0,19.0,,73.0,14.0
l_shape__seed_003,0,268.0,,,22.0,23.0
u_shape__seed_003,0,268.0,,,52.0,14.0
c_shape__seed_003,133,135.0,,,22.0,23.0
star10__seed_003,0,268.0,65.0,,28.0,41.0
convex_random__seed_003,0,268.0,72.0,40.0,145.0,14.0
concave_random7__seed_003,79,189.0,,,31.0,14.0
concave_random15__seed_003,136,,,,,
high_aspect__seed_003,0,268.0,31.0,,37.0,11.0
polygon32__seed_003,0,268.0,,,55.0,14.0
circle__seed_004,136,132.0,,,79.0,11.0
rectangle__seed_004,0,268.0,42.0,,22.0,20.0
ellipse24__seed_004,0,268.0,90.0,,64.0,14.0
l_shape__seed_004,10,258.0,39.0,,73.0,11.0
u_shape__seed_004,133,135.0,,,16.0,38.0
c_shape__seed_004,0,268.0,,,130.0,11.0
star10__seed_004,0,268.0,,,199.0,14.0
convex_random__seed_004,43,225.0,,,22.0,20.0
concave_random7__seed_004,139,129.0,,,34.0,17.0
concave_random15__seed_004,0,268.0,113.0,,103.0,44.0
high_aspect__seed_004,0,268.0,,10.0,82.0,20.0
polygon32__seed_004,0,268.0,72.0,,61.0,11.0
