frame,H_star,J_k,E_k,grad_residual_k,centroid2_k,in_K0,qp_all_optimal,dissipation_slack_u_command
0,1.1264927463748642,0.043783970640449206,1.0728725133402376e-07,0.03484355759295739,3.640979504408887,1,1,-0.0003935071576486081
1,1.1186542998913396,0.04746779463696547,8.42507947229346e-08,0.03972317435785642,3.682861168917349,1,1,-0.00040606980844266893
2,1.1102344350323312,0.05127791100180243,1.1109569254202811e-07,0.04489318939065656,3.7157908210282455,1,1,-0.0004126947988395725
3,1.1012320750239541,0.055174358119742944,8.876382381617058e-08,0.05028338131241529,3.732287040203585,1,1,-0.000422744602766827
4,1.09164653702979,0.059172782928503365,8.354071166292878e-08,0.055853426094158234,3.740611516943872,1,1,-0.00042703242208620186
5,1.081484195232602,0.063233967629771,1.0578682068543227e-07,0.06150468238179195,3.74092091676288,1,1,-0.00043562404634478295
6,1.0707506509820321,0.06739457448874965,1.2638869348000693e-07,0.06724768956067048,3.7343474607404423,1,1,-0.000437734108603963
7,1.059455819802146,0.07159666561322939,1.2524036495985088e-07,0.07293333024106766,3.7250481134809625,1,1,-0.00044532802531983134
8,1.0476093919943703,0.07577292398153224,1.3138792983219358e-07,0.07858448428776763,3.7145705687800303,1,1,-0.000450509640557515
9,1.0352264514950227,0.07998087091639818,1.9031978600834094e-07,0.08413497806486554,3.6989874344404314,1,1,-0.00045469764017268786
10,1.0223227145081015,0.08424382087670407,1.0776444667357118e-07,0.08958958890085264,3.676329260571684,1,1,-0.00045510387673662264
11,1.0089117989762968,0.08850754984722346,1.1168246036203745e-07,0.09483673008621445,3.646582380131694,1,1,-0.00045830124067878543
12,0.9950127427836544,0.09281165448908042,1.1457580754857164e-07,0.09994831565593026,3.6096995902948255,1,1,-0.0004637317209515088
13,0.9806365940673303,0.09714902432654307,8.194096209420269e-08,0.1049144206162511,3.5647316015771846,1,1,-0.0004646769113146286
14,0.965802709430734,0.10150751889147333,7.671204896965009e-08,0.10970509236283804,3.5133864809358677,1,1,-0.00047059412192232246
15,0.9505232641138418,0.10589335436027833,7.271926027648619e-08,0.11432082032437896,3.4568528482657053,1,1,-0.0004755610327403584
16,0.9348147558211855,0.11030612199195469,9.545802599089606e-08,0.11882156267033574,3.3944737746236435,1,1,-0.0004861620763509343
17,0.9186873343707148,0.11479192473003762,9.546050076070971e-08,0.12331628163049102,3.3283020822611613,1,1,-0.0004913397996326695
18,0.9021520242730428,0.11931174209051643,9.159879291448389e-08,0.1277746870234866,3.2576708421069256,1,1,-0.0004986022828358111
19,0.8852207452566832,0.12387980531911363,1.1366883212062127e-07,0.13224889712778126,3.1824340816045353,1,1,-0.0005069869444861638
20,0.8679030218329105,0.12850625440164815,9.076734652306043e-08,0.136757771485575,3.1049974164761167,1,1,-0.0005151852091332121
21,0.8502069814225972,0.13318806680668704,7.913285035326706e-08,0.1413264763521755,3.0258051690284136,1,1,-0.0005240107033693889
22,0.8321409100222943,0.13793268761722188,8.004807524483653e-08,0.1459801063478254,2.9454456216213263,1,1,-0.000531960102230368
23,0.8137127885585548,0.14218303430219922,5.7157543491388884e-08,0.15073882510437883,2.863821867365597,1,1,-0.000524635967863174
24,0.7949751171367144,0.1449983642998987,4.972819642211568e-08,0.1555090711332499,2.7806695321486905,1,1,-0.0005189189591650739
25,0.7760182130611881,0.14780238488809988,6.756528885810333e-08,0.160361165470185,2.6949398070450217,1,1,-0.0005140566449097841
26,0.7568553821147044,0.14999318163086373,6.270878394717109e-08,0.1644939598463831,2.606024089579276,1,1,-0.0004910284972794131
27,0.7375745119838716,0.15132551235583236,6.720513684561715e-08,0.16740616589148882,2.51543884740296,1,1,-0.00047946663417019336
28,0.7182512872784512,0.15153534684470132,8.766864128020227e-08,0.1695828820223499,2.4231089469825005,1,1,-0.0004774036824873283
29,0.698968165296988,0.1513845841264478,6.587504978499303e-08,0.1712902872868479,2.330671310201282,1,1,-0.0004278443517896566
30,0.6798129499340324,0.151241797107463,7.288914500768445e-08,0.1725684956464632,2.23884000245444,1,1,-0.000428111168310881
31,0.6607562509048378,0.15108827038683126,1.1636666822516555e-07,0.17334758817086227,2.146970433825482,1,1,-0.00041287465416885855
32,0.6418388180128375,0.15095495547910548,7.378817962750058e-08,0.17369587418839078,2.055932969024814,1,1,-0.00041524670703476513
33,0.6230618631780348,0.15082570727374517,7.860020073971397e-08,0.17355938175562752,1.9654838576479645,1,1,-0.0003750125065394745
34,0.6044909292558593,0.1507471783436834,1.0763275726619078e-07,0.17320890907641523,1.8765960583925954,1,1,-0.000357128981033239
35,0.5861132615640552,0.15031093566535744,1.6023394981313821e-07,0.17248859482080958,1.7893937842595893,1,1,-0.00034680388556291436
36,0.5679558420135349,0.14909489913755916,4.27553228115759e-07,0.1714035519033451,1.7028008294583565,1,1,-0.0003470621520079188
37,0.5500702719031683,0.14763314871503136,2.1871406774026017e-07,0.1697819862281863,1.6147642199259784,1,1,-0.00035591641719461
38,0.5324910836660602,0.14557064517892265,1.2095009344426563e-07,0.1679453109265734,1.5303918898482787,1,1,-0.00027965884561140936
39,0.5153358438926257,0.14346748204340576,9.205767511605944e-08,0.16576480358631823,1.4476242792142962,1,1,-0.0002817378170737461
40,0.49854296023903233,0.14134105357576376,6.819120245903868e-08,0.16308533079947934,1.3675538228914053,1,1,-0.0002693594119298169
41,0.48214184702245166,0.13915619397278073,1.18978888823372e-07,0.16019673229886688,1.2902567556840168,1,1,-0.00022186617482397933
42,0.4661763276882891,0.13591317475589404,9.690207447106914e-08,0.15674533107716498,1.2149785864395273,1,1,-0.00027524268937638256
43,0.4506203113549687,0.13240474717558542,7.401209784749526e-08,0.15325979781681637,1.143602089967621,1,1,-0.00021174381371179794
44,0.4356000102883698,0.12878000558266023,5.8959014418292454e-08,0.1491704980582959,1.074763494276667,1,1,-0.00026539683829858614
45,0.42102029283402764,0.12510985455339785,8.582593505950946e-08,0.14485222281450633,1.0094727849713352,1,1,-0.00017016496925350774
46,0.40703433454920235,0.1214092578733379,8.373658753313478e-08,0.14015814953943145,0.9474126350963553,1,1,-0.00019015739577786864
