frame,H_star,J_k,E_k,grad_residual_k,centroid2_k,in_K0,qp_all_optimal,dissipation_slack_u_command
0,0.9849668538403417,0.09328084841336544,3.0085635054000564e-07,0.09917785968705772,3.083175083139983,1,1,-0.0004942462677447728
1,0.9705543508257988,0.09780056312683486,1.526876310891182e-07,0.10454019251967375,3.0622789996964235,1,1,-0.00048454524464986576
2,0.9556467885039079,0.10227438879092404,1.5251705305348001e-07,0.10963174050236657,3.0365722985814427,1,1,-0.0004721308119831173
3,0.9402773769700228,0.10668226356813434,1.24509099811748e-07,0.1143981843980765,3.0029318981061253,1,1,-0.0004658772603237261
4,0.9244757668408623,0.11100337173605831,6.918971820182271e-08,0.11870944433487499,2.9619615075616315,1,1,-0.0004627605809102778
5,0.9082788698607215,0.1137994945594084,4.093226447776633e-08,0.12255525129936409,2.915190678634972,1,1,-0.0004604638186063506
6,0.891802235714203,0.11649712618001719,4.494290355199063e-08,0.12602259644993208,2.863035531949267,1,1,-0.0004505102932199981
7,0.8750846328503873,0.1191308061596068,4.649146372421153e-08,0.12900212316401807,2.804759752789934,1,1,-0.0004391109712937706
8,0.8581632758213323,0.12173582738068695,5.099305265114836e-08,0.13155436891413738,2.7420444568914037,1,1,-0.000427622223164649
9,0.8410673372647568,0.12429888561788877,5.858169654799732e-08,0.13364281103862424,2.6744142263708985,1,1,-0.00041608485845616786
10,0.8238299189130845,0.126831252204738,4.7083551170777366e-08,0.13528231542905733,2.602946986053377,1,1,-0.00040466611304207367
11,0.806481649294493,0.12935400069937192,4.7178681227954985e-08,0.1365395819502657,2.528088379387011,1,1,-0.00039154548084032945
12,0.7890509846624512,0.13166528051703735,5.122697620796645e-08,0.13736589172461297,2.4501077904525266,1,1,-0.00038316329703843785
13,0.7715754097318972,0.13270948415461814,3.6342257038515774e-08,0.13780546700121082,2.3697065392727152,1,1,-0.0003714673338070795
14,0.7541501816556145,0.1337657756487525,4.111209021845731e-08,0.1378753766519599,2.2871341364356854,1,1,-0.00036597010758919815
15,0.7367935353180904,0.1348969237624229,3.649687781793439e-08,0.13776603139444005,2.204265037667396,1,1,-0.00035810158786869425
16,0.7195190611559508,0.1356267141054161,2.79095871039125e-08,0.13742886930357062,2.120328293904933,1,1,-0.00034829925808783566
17,0.7023681943867432,0.1343844209307798,3.3497540241096836e-08,0.13683438591325445,2.035665217389693,1,1,-0.0003340338396731514
18,0.6854689749163958,0.1327502690472474,3.677370506755505e-08,0.13611098679339728,1.952420958504644,1,1,-0.0003209724825530384
19,0.6688468461138612,0.1310644461812272,3.506638538117247e-08,0.13524351288888034,1.8691899365172584,1,1,-0.0003071905896443218
20,0.6525142041368142,0.12886001431759458,4.679069271956975e-08,0.13425311155492187,1.7876812524393344,1,1,-0.00029965746484853645
21,0.6364978158091615,0.1268508790800385,5.882876358680447e-08,0.13322743036175252,1.7075913405972263,1,1,-0.00027458630818825297
22,0.6208067842768858,0.1226783846576906,7.237963896991406e-08,0.13125118450449347,1.6278164074336208,1,1,-0.00024831865617160227
23,0.6056029988141118,0.11911961550104944,1.779092126670215e-08,0.12849184947903886,1.5481082504011936,1,1,-0.0002296242845974978
24,0.5909076231613128,0.11679207385077453,3.568915036295297e-08,0.12529885461580642,1.4711204683012948,1,1,-0.00021226624225995777
25,0.5766567980825832,0.11494983733576733,3.8870214857990124e-08,0.12178067884034498,1.39690427601749,1,1,-0.00021087755889188237
26,0.5628001257875203,0.11336074731922553,2.031894011873282e-08,0.11809020553792443,1.3254326226173159,1,1,-0.00020679996400886635
27,0.5493182602932893,0.11108017430124437,3.487685696748089e-08,0.1143895008309483,1.2571336583592798,1,1,-0.000186417325885228
28,0.5362529109915317,0.10795362290206473,5.302790617334647e-08,0.11062545200446876,1.1906749791085869,1,1,-0.00017092357943595746
29,0.5236404466939752,0.10409659523447642,2.5347751276894786e-08,0.10703020621393344,1.1267498707645083,1,1,-0.0001745018170540482
30,0.5114877210352085,0.10050489442727284,4.5893458856570895e-08,0.10358575506350279,1.0665843864821076,1,1,-0.00017254056541962833
31,0.4997730624815919,0.09686700386798824,3.5442320771793416e-08,0.10032689391985145,1.010065092035777,1,1,-0.0001833183586803025
32,0.48847226965039603,0.09345799445842577,4.142235518626844e-08,0.09727109528437,0.956962640359434,1,1,-0.00016596298216205348
33,0.47758852817374986,0.09030059138553112,4.3271688014240356e-08,0.09445184294151995,0.9066142366452783,1,1,-0.00014694754924297893
34,0.46709857387726017,0.08738591134522972,4.716025744941992e-08,0.0918556878401495,0.8585175027130068,1,1,-0.00015413718489782138
35,0.4569532454163181,0.08471608923484295,6.223061472176377e-08,0.08948002256015404,0.8135614331926797,1,1,-0.00016330551106573735
36,0.44712522158674384,0.08225629354880708,5.6235740212176656e-08,0.0873090563971668,0.7716172655311957,1,1,-0.00016958032831812346
37,0.43759515219229983,0.07997068906643012,6.28443446497633e-08,0.08523358676436046,0.73203236595124,1,1,-0.00013501923949818702
38,0.428388993369907,0.07784913324353532,4.3866544649583034e-08,0.08332952688078621,0.6943158549701414,1,1,-0.0001278844326714889
39,0.419463827827969,0.07579163318874527,5.254516645496562e-08,0.08153221190179563,0.6588794538596545,1,1,-0.00014161979224396222
40,0.4107945950968642,0.07387711456685889,5.241753071121646e-08,0.07987349277005766,0.6256628205101987,1,1,-0.00014994716764020997
41,0.402372547059349,0.07161005932348684,7.884951943575816e-08,0.07831524671920334,0.5943812922296068,1,1,-0.00014232211105733722
42,0.3942312232772176,0.0698726435275983,9.796669995288169e-08,0.07685995399695802,0.5649726535352095,1,1,-0.00011893593819551403
43,0.38635527119419966,0.06840819547453153,1.1072619708472854e-07,0.0755180734049259,0.5372564743749286,1,1,-0.0001194733386482372
44,0.37869748090164823,0.06710943817210527,1.0964446493683093e-07,0.0742567925458677,0.511235041075892,1,1,-0.0001408239293198268
45,0.37121980567886403,0.06558862598981272,1.514269227669282e-07,0.07300535318300953,0.486701924160868,1,1,-0.00014669356549606473
46,0.36394439693299063,0.06343295833642223,1.7052694159281827e-07,0.07177975184624852,0.4637272388569333,1,1,-0.00011392388435802966
47,0.35693747313395163,0.061278448585487186,1.9467697378523662e-07,0.07041426913889992,0.4416552375310125,1,1,-0.0001045666254836106
48,0.3501759534747564,0.059148238553537416,2.182996009709847e-07,0.06896678763509757,0.4206227579771815,1,1,-0.00012113186947416282
49,0.3436313308067196,0.05705526207165808,2.5557272869463346e-07,0.06751336823842771,0.40079967604362493,1,1,-9.69407104633958e-05
50,0.337338078231292,0.05266738057923624,2.9482180185876976e-07,0.06596009259104793,0.38191245604233764,1,1,-0.00011699013989674174
51,0.3313985890120148,0.045178155507325526,3.388385432983813e-07,0.06449702950729302,0.3647651307570489,1,1,-7.367019573613874e-05
52,0.3260938201501551,0.04016435273101267,3.79733511141262e-07,0.06324395810534511,0.3495349762543005,1,1,-7.62521242636616e-05
53,0.32130774906991155,0.037805039664702306,3.851127838041483e-07,0.062089634814605964,0.3358566136956806,1,1,-9.540058144060209e-05
54,0.31684550067485673,0.03644179320129974,4.1445760548804446e-07,0.061050038770989926,0.32345440045240065,1,1,-7.889843307691026e-05
55,0.3126346508747333,0.035459862451515035,4.5384681888032717e-07,0.06004922565981216,0.3119923942691916,1,1,-6.737911018883484e-05
56,0.3086060412784095,0.03463706502385359,4.857152086223887e-07,0.059069080790303735,0.30116234010270354,1,1,-7.388262836195963e-05
57,0.30470218909891,0.03388072927141754,4.854857920264086e-07,0.05810058673140337,0.29099453570461964,1,1,-7.061670317862982e-05
58,0.300910370094849,0.03316506734929385,5.369095505142138e-07,0.05711885944919651,0.28129674341695,1,1,-7.528555995673465e-05
59,0.2972075292342351,0.03247793440507583,5.898188504085073e-07,0.05613232274111612,0.2720361619699906,1,1,-7.166561188086612e-05
60,0.2935922750809541,0.03181110816456893,6.018706914529682e-07,0.05518590819205642,0.2633206143367511,1,1,-6.815479060293464e-05
61,0.2900577515592814,0.031146706580629527,6.075450540605318e-07,0.054135102514084335,0.25470755622386365,1,1,-3.836179318808183e-05
62,0.28662869038111516,0.02880264772214284,6.353207208788753e-07,0.05272000240333488,0.24574730608808432,1,1,-5.169000616225827e-05
63,0.28337764698196044,0.02722857181318037,7.805343294203761e-07,0.05117454894186265,0.23706810669670442,1,1,-5.3324590157041284e-05
64,0.28029548809519156,0.026114914076588783,7.790112436642715e-07,0.049627404882745696,0.2288248920025098,1,1,-4.385365532883975e-05
65,0.27736157619795754,0.025181409001808368,7.913780339671706e-07,0.048092905524884356,0.22096533207888422,1,1,-3.235634233180688e-05
66,0.2745571844165928,0.0243203729554495,9.822120174419644e-07,0.046486923737307395,0.21329104976822078,1,1,-2.9447882481172926e-05
67,0.2718620032329848,0.023507645158722112,9.578783639016502e-07,0.04487251066497094,0.20574559338978254,1,1,-4.5323049740112094e-05
68,0.26924710938476526,0.02272908134417089,9.61034379345661e-07,0.043285692340938625,0.19857100890089002,1,1,-2.687679955646347e-05
69,0.26674004931694306,0.02198407168157681,1.1771397131429462e-06,0.0417555582278049,0.19174887577612215,1,1,-2.936689960143877e-05
70,0.26431353901675236,0.02126348287076307,1.1741458539291194e-06,0.04020621142522818,0.18517981355254168,1,1,-3.6090514779613374e-05
71,0.2619604658032145,0.020573136093708304,1.5535738606487062e-06,0.038683433534006634,0.17887524833355273,1,1,-3.619437959904038e-05
72,0.25968347599605923,0.019913933414775167,1.6903221385767382e-06,0.03718691929881741,0.1727411872644342,1,1,-3.4122306926790986e-05
73,0.2574808276363665,0.019280506689267656,1.690238963763873e-06,0.03575526031304373,0.16692569034255014,1,1,-1.593559295050154e-05
74,0.25536473298499796,0.01864874659377975,1.6946558775778569e-06,0.03435249785070202,0.16130380515443107,1,1,-2.6761920017495493e-05
75,0.2533051122374672,0.018055103390182244,1.6784392776442121e-06,0.03298446721862921,0.15588841361799888,1,1,-2.0117841634265804e-05
76,0.25131609963735113,0.017481842654823398,1.5659963614050066e-06,0.03160614781486359,0.15059227290030297,1,1,-8.559187355219227e-06
77,0.24940157509375793,0.01692972404266699,1.5492115942269204e-06,0.03024878759580696,0.14545247025624133,1,1,-1.8299546145487608e-05
78,0.24753834968784438,0.016397058417852012,1.535673720316684e-06,0.028952984245826076,0.1405723679162497,1,1,-1.324811264330223e-05
79,0.24573862108573574,0.01587839360246667,1.3862242434440665e-06,0.027707604118934442,0.1358906276174551,1,1,-2.2613994199431435e-05
80,0.24398634041442535,0.015370631830851068,1.3807810259619853e-06,0.02651315172618649,0.13142719963433214,1,1,-3.9679287036431445e-05
81,0.2422724174524281,0.014870545132118222,1.3685651146886033e-06,0.025370016680061606,0.12717424767191535,1,1,-2.731852425009139e-05
82,0.24062518574811098,0.014374178376472445,1.3595966275372893e-06,0.024258435617948965,0.12306642144119911,1,1,-1.3372452816479401e-05
83,0.2390461268039472,0.013755098911802696,1.3472382345138673e-06,0.023177311166717434,0.1191114616960772,1,1,1.4708767938280236e-06
84,0.23755046898302212,0.01314784293280964,1.3451324839872862e-06,0.022159796845978432,0.11541110052542233,1,1,-4.7350729144581775e-06
85,0.23611563242165023,0.012577424961930258,1.2059723101888935e-06,0.021201661032343503,0.11197990365796945,1,1,-1.7304695638684347e-05
86,0.2347307402884098,0.012040895306895935,1.1862277865384893e-06,0.020291411478070565,0.10878016447354485,1,1,-2.8470397042713435e-05
87,0.23339338339873872,0.011536938292339857,1.174734374187753e-06,0.019431049178593833,0.10580903558682156,1,1,-9.872787305117547e-06
88,0.23212956175405886,0.01106286444929735,1.1639585910090082e-06,0.018615714113244426,0.10301714897549433,1,1,-3.500644403660173e-05
89,0.23089217697696207,0.010617635490533028,1.1537421140146216e-06,0.0178412211650429,0.1004136018781729,1,1,-1.0817596387725e-05
90,0.22972742179541727,0.010199690828090467,1.013706021128813e-06,0.017106465196790054,0.0980089319515546,1,1,1.5231525610176358e-05
91,0.22863417421702215,0.009806785098443136,1.007674644358436e-06,0.016410564986051597,0.09576128475993897,1,1,-3.4935481441802484e-06
92,0.22756496938867532,0.009438210787864658,9.974548153269552e-07,0.01575398995041868,0.09368180769686418,1,1,-3.848450791866403e-05
93,0.2265007933525086,0.009092920874303963,9.89164960237972e-07,0.015133682155612919,0.09178058786222731,1,1,-2.1602041847933228e-05
94,0.22549089717352455,0.00876919290061261,8.837400404607258e-07,0.014544792058411735,0.08997504810874468,1,1,-5.831818072369699e-06
95,0.22453190852943183,0.008464764540099302,8.674169620020764e-07,0.013983958006826608,0.08834123285527397,1,1,-1.0212788115284625e-05
96,0.223601468881529,0.008178934855804182,8.613960475749933e-07,0.013454069021047026,0.08684508057427104,1,1,-1.2468651733531797e-05
97,0.22269958547759883,0.007910064527166749,8.524530784511047e-07,0.012950850509384725,0.08541972128892239,1,1,-4.2708460647858533e-05
98,0.22179650832734332,0.007657994856059208,7.725280207973649e-07,0.012472453934240787,0.0841204480685897,1,1,-4.2840378496695943e-07
99,0.22096294770750413,0.007419058417350375,7.607156669692577e-07,0.012007514138616114,0.0828342885242232,1,1,3.6242315522248e-06
100,0.22015962024817193,0.007193630070170199,7.568693496708265e-07,0.011566590242092643,0.08170865793293898,1,1,1.3154032585800191e-05
101,0.21939024446294475,0.006980209544233467,7.467444752694145e-07,0.01114585451082454,0.08057664808450579,1,1,-2.6511853364727085e-05
102,0.21860447650335346,0.006778891103469352,6.912871899131348e-07,0.010745072901902427,0.07954732388023178,1,1,-1.5287983323271554e-05
103,0.21785183812084208,0.006587038970254846,6.816081637602758e-07,0.010362287995838566,0.07849338017953991,1,1,4.046823610939711e-06
104,0.21713955271742336,0.006403824796375723,6.689815135529982e-07,0.009999293291010753,0.07756712967030505,1,1,2.99826849337677e-06
105,0.2164459130756794,0.006228471460023939,6.578572071372238e-07,0.00965140992089747,0.07660337186918006,1,1,-2.739766012330126e-05
106,0.2157409166390225,0.006059767423690308,6.242758770179726e-07,0.009319680107727128,0.07572108684458327,1,1,-3.120932624897611e-05
107,0.21505030636734912,0.005897883095008282,6.125464309082836e-07,0.009001711688347068,0.07480527965989109,1,1,-3.926147162898095e-06
108,0.21440467067949753,0.005741937844328891,6.00594028271045e-07,0.008699108456464138,0.07400166497240299,1,1,3.898219404937695e-06
109,0.21378357131637427,0.005591280099793017,5.834344050996703e-07,0.008405021428576036,0.07312678622813742,1,1,-3.1229491641416945e-05
110,0.21314382283483513,0.005444904253383013,5.745874048708318e-07,0.008123717919448804,0.07233894667684719,1,1,-8.15627783582731e-06
111,0.21254303276128916,0.005301863523858542,5.684178393300727e-07,0.007850602720976145,0.07148262400517233,1,1,-5.958504297878331e-06
112,0.21196022276195925,0.0051623290218652685,5.595253707051753e-07,0.007590931892586127,0.07075053850498488,1,1,1.8926280250596982e-05
113,0.2114173193419535,0.005025393923787215,5.491222978001722e-07,0.007340104881900652,0.06996339401122523,1,1,-3.099643244762267e-05
114,0.21083946565695766,0.004891761356377259,5.373493692539878e-07,0.007099358222578582,0.06925871411252754,1,1,-2.605017920480346e-06
115,0.21030452615673845,0.004760075688211514,5.289699531100709e-07,0.006866372956244764,0.06850965114157341,1,1,-6.1490133443170775e-06
116,0.20978056230590192,0.004630947685900616,5.182368280548708e-07,0.0066453349942080155,0.06787780275417177,1,1,1.0614973441305797e-05
117,0.20928726295851396,0.004503606719005559,5.159382446914848e-07,0.006431124288153015,0.06722161335305923,1,1,-2.0981305217149075e-05
118,0.20877626876520938,0.004378877040758965,5.094633169050049e-07,0.006225313200383754,0.06665297345240163,1,1,-1.0842225127446039e-05
119,0.20828895781856938,0.004255851017648428,5.008897893081369e-07,0.006026032862191792,0.06607931008026083,1,1,-1.0481279593742374e-05
120,0.20781552895948863,0.004134975987686989,4.923835571866941e-07,0.005836070255026707,0.06561039165301205,1,1,9.954652895869808e-06
121,0.2073756301287526,0.004015871034109039,4.866355246365862e-07,0.005652683037335205,0.06518504662856409,1,1,-7.510520222369754e-06
122,0.20693121602298603,0.003899014450498791,4.803366396768127e-07,0.005475764302389052,0.06482463799099143,1,1,-8.663942234608162e-06
123,0.20649838687327782,0.0037844205612626875,4.738874337758763e-07,0.005305713699737139,0.06454031461950706,1,1,-8.179029713578797e-06
124,0.20607854722323793,0.0036719530159952532,4.6882527705896696e-07,0.005141742045351689,0.06432781591621972,1,1,-1.1789945917221184e-05
125,0.20566742170573016,0.003561897876350553,4.6158969041565435e-07,0.004984369063342169,0.06424467697030778,1,1,2.245263521959205e-05
126,0.20530245395539493,0.0034540641421719823,4.569111141253531e-07,0.004832583626266187,0.06420409301447713,1,1,-1.0442159785018e-05
127,0.20491639188914845,0.003349206694715358,4.5063556099011026e-07,0.004687652790919398,0.06428085627963268,1,1,-1.4295498540133707e-05
