frame,H_star,J_k,E_k,grad_residual_k,centroid2_k,in_K0,qp_all_optimal,dissipation_slack_u_command
0,0.8582070053864108,0.05033317501039722,9.516137466164652e-08,0.04719225667754694,3.636470222292133,1,1,-0.0004378834502214452
1,0.8492357996006611,0.05444146774457791,8.647688020787e-08,0.05369694562240189,3.6763829493065168,1,1,-0.0004489063851576217
2,0.8396307070559222,0.05866482904395,1.1275338828907462e-07,0.060522563567767036,3.707283472628424,1,1,-0.0004537036686536721
3,0.8293958804682975,0.06295310483320388,7.843252366460809e-08,0.06754046077967317,3.7219891646927588,1,1,-0.0004604003270158759
4,0.8185387366002663,0.0673150145894839,8.454529031685386e-08,0.07467940824191358,3.72837591682973,1,1,-0.0004629983784959005
5,0.8070719393390354,0.07172033024918228,9.294065636277233e-08,0.0818125476388562,3.726771775828528,1,1,-0.00046529638128534404
6,0.7950121990119297,0.0761671347510427,1.2142695600937196e-07,0.08882874352972135,3.7182243075318278,1,1,-0.00046471995517732324
7,0.7823789860278182,0.08062396325111335,1.1732281068824608e-07,0.09559911704781297,3.7068638954530977,1,1,-0.0004659040516160947
8,0.7691941436024385,0.08500046333612393,1.192777896113854e-07,0.10207678577284054,3.6938406520623888,1,1,-0.0004666650406462032
9,0.7554838994039436,0.08935497068578413,1.7113696328946666e-07,0.10811746288663583,3.676274672110818,1,1,-0.0004607784241080926
10,0.7412811641263097,0.09367480145646545,1.0442852844206583e-07,0.11365183417088041,3.6502573748981826,1,1,-0.0004575847025562619
11,0.7266128082590058,0.09796105707026825,9.392647061382286e-08,0.11864677852079782,3.618042828944727,1,1,-0.0004499088417224597
12,0.7115125431200522,0.10218289837367352,8.940539194953901e-08,0.1230182322555017,3.5772794133000905,1,1,-0.00044662043170152
13,0.6960116215287668,0.10636410385207543,7.30171407502725e-08,0.12677085344469663,3.5286001043709136,1,1,-0.0004387576124673404
14,0.6801441748381449,0.11046916326614802,6.598702087106404e-08,0.12981654359160325,3.4730396336819833,1,1,-0.0004330572875974152
