t,pid,cpu_percent,rss,children
1789553366.418696,27404,0.0,88797184,0
1789553368.4426591,27404,21.0,89743360,2
1789553370.4549146,27404,20.4,89858048,2
1789553372.48022,27404,19.2,89862144,2
1789553374.5059805,27404,20.7,89866240,2
1789553376.535027,27404,21.7,89866240,2
1789553378.5456138,27404,19.2,89866240,2
1789553380.5567255,27404,21.9,89866240,2
1789553382.5748022,27404,20.4,89866240,2
1789553384.5984116,27404,23.0,89866240,2
1789553386.6114054,27404,18.5,89870336,2
1789553388.6231723,27404,19.5,89870336,2
1789553390.6375318,27404,18.4,89870336,2
1789553392.6532364,27404,22.3,89870336,2
1789553394.6723425,27404,20.7,89870336,2
1789553396.6835957,27404,20.1,89870336,2
1789553398.6963089,27404,23.6,89874432,2
1789553400.713473,27404,21.2,89874432,2
1789553402.7374966,27404,21.2,89874432,2
1789553404.7516408,27404,20.6,89874432,2
1789553406.7745204,27404,21.3,89874432,2
1789553408.787945,27404,21.2,89874432,2
1789553410.7997746,27404,19.6,89882624,2
1789553412.8100703,27404,19.6,89882624,2
1789553414.8243344,27404,21.1,89882624,2
1789553416.8456101,27404,22.8,89882624,2
1789553418.8710797,27404,23.8,89882624,2
1789553420.8820012,27404,19.4,89886720,2
1789553422.9095821,27404,21.6,89890816,2
1789553424.935658,27404,19.5,89833472,2
1789553426.9558592,27404,19.8,89833472,2
1789553428.9826117,27404,20.0,89833472,2
1789553431.0079513,27404,20.2,89833472,2
1789553433.023104,27404,19.0,89833472,2
1789553435.049377,27404,21.8,89837568,2
1789553437.0735302,27404,23.7,89837568,2
1789553439.0890026,27404,31.9,89870336,2
1789553441.101265,27404,20.0,89939968,2
1789553443.1151633,27404,22.4,89939968,2
1789553445.1298919,27404,19.0,89939968,2
1789553447.15375,27404,19.2,89944064,2
1789553449.1699104,27404,20.9,89944064,2
1789553451.180731,27404,23.4,89956352,2
1789553453.1964452,27404,18.4,89956352,2
1789553455.226411,27404,19.3,89956352,2
1789553457.2505758,27404,19.6,89956352,2
1789553459.279765,27404,23.8,89960448,2
1789553461.3036432,27404,21.1,89960448,2
1789553463.3178663,27404,19.9,89960448,2
1789553465.3297744,27404,24.7,89960448,2
1789553467.3540928,27404,26.3,89960448,2
1789553469.3819401,27404,29.3,89960448,2
1789553471.4000285,27404,22.5,89964544,2
1789553473.4243524,27404,19.3,89976832,2
1789553475.44754,27404,21.1,89976832,2
1789553477.4600937,27404,21.0,89976832,2
1789553479.4807231,27404,20.3,89976832,2
1789553481.4962275,27404,20.5,89976832,2
1789553483.5180404,27404,20.7,89976832,2
1789553485.5305128,27404,20.0,89976832,2
1789553487.551439,27404,20.1,90009600,2
1789553489.563353,27404,21.0,90009600,2
1789553491.5881176,27404,19.1,90009600,2
1789553493.6132672,27404,22.0,90009600,2
1789553495.6306734,27404,19.8,90009600,2
1789553497.6406147,27404,19.2,90009600,2
1789553499.6587481,27404,20.0,90009600,2
1789553501.6823995,27404,20.4,90009600,2
1789553503.6970825,27404,20.9,90009600,2
1789553505.7211282,27404,13.3,90009600,2
1789553507.7355766,27404,10.2,90009600,2
1789553509.7517202,27404,10.6,90009600,2
1789553511.764114,27404,12.6,90009600,2
1789553513.7844002,27404,10.9,90009600,2
1789553515.7956104,27404,11.1,90009600,2
1789553517.8093321,27404,13.2,90009600,2
1789553519.8195689,27404,11.3,90013696,2
1789553521.8410888,27404,12.6,90013696,2
1789553523.8660703,27404,11.3,90013696,2
1789553525.8811965,27404,10.4,90013696,2
1789553527.9063163,27404,13.2,90013696,2
1789553529.9254732,27404,11.6,90013696,2
1789553531.9357092,27404,26.0,90017792,2
1789553533.950134,27404,11.3,90017792,2
1789553535.9740481,27404,12.5,90017792,2
1789553537.988446,27404,13.7,90017792,2
1789553540.0016756,27404,11.4,90017792,2
1789553542.0225234,27404,10.9,90017792,2
1789553544.032465,27404,10.0,90021888,2
1789553546.045976,27404,11.4,90021888,2
1789553548.070749,27404,11.5,90021888,2
1789553550.0889158,27404,15.4,90021888,2
1789553552.0984046,27404,13.1,90021888,2
1789553554.12051,27404,14.1,90021888,2
1789553556.1347356,27404,10.3,90025984,2
1789553558.1461813,27404,10.0,160403456,0
