t,pid,cpu_percent,rss,children
1789553595.6313725,28840,0.0,88735744,0
1789553597.656033,28840,11.1,90763264,0
1789553599.6785362,28840,11.9,90521600,0
1789553601.6894357,28840,9.7,91230208,0
1789553603.714459,28840,9.4,91340800,0
1789553605.7434993,28840,13.7,91570176,0
1789553607.7577627,28840,9.7,91594752,0
1789553609.771735,28840,9.8,91623424,0
1789553611.7835479,28840,10.5,136912896,0
1789553613.7992911,28840,9.2,91267072,0
1789553615.8252823,28840,11.4,91156480,0
1789553617.8475897,28840,10.4,91877376,0
1789553619.8778698,28840,9.4,91799552,0
1789553621.9008715,28840,11.0,91889664,0
1789553623.919407,28840,22.4,91967488,0
1789553625.929007,28840,31.3,91529216,0
1789553627.9529068,28840,26.5,92377088,0
1789553629.977217,28840,13.9,92221440,0
1789553632.0006347,28840,18.5,92397568,0
1789553634.0264344,28840,8.7,92520448,0
1789553636.0414503,28840,10.8,92614656,0
1789553638.0656862,28840,11.2,92626944,0
1789553640.0918157,28840,9.3,92729344,0
1789553642.1075687,28840,15.6,92835840,0
1789553644.1235924,28840,10.2,92700672,0
1789553646.1457376,28840,8.7,92520448,0
1789553648.1634748,28840,8.7,92766208,0
1789553650.1781552,28840,11.1,92590080,0
1789553652.201059,28840,11.1,92102656,0
1789553654.2173321,28840,13.1,91877376,0
1789553656.2413266,28840,11.6,189915136,0
1789553658.2682946,28840,12.4,112037888,0
1789553660.2807767,28840,9.6,93065216,0
1789553662.3046067,28840,10.6,93151232,0
1789553664.3297048,28840,11.0,92962816,0
1789553666.3434467,28840,9.0,92999680,0
1789553668.3677585,28840,8.9,183402496,0
1789553670.381783,28840,11.4,92454912,0
1789553672.4068706,28840,9.4,92266496,0
1789553674.4344501,28840,9.1,93085696,0
1789553676.4580193,28840,9.6,92987392,0
1789553678.4844847,28840,9.4,93061120,0
1789553680.4970095,28840,11.5,93425664,0
1789553682.5219707,28840,10.5,93319168,0
1789553684.5380719,28840,10.1,93454336,0
1789553686.5499258,28840,13.4,93515776,0
1789553688.574246,28840,9.4,93609984,0
1789553690.5875602,28840,8.8,93843456,0
1789553692.6149962,28840,14.1,93818880,0
1789553694.6386616,28840,10.5,93708288,0
1789553696.6513333,28840,10.5,92749824,0
1789553698.661845,28840,10.2,93859840,0
1789553700.6786735,28840,11.5,93949952,0
1789553702.7021592,28840,12.1,93921280,0
1789553704.726698,28840,11.1,94011392,0
1789553706.7380662,28840,11.2,93908992,0
1789553708.7493546,28840,10.3,94044160,0
1789553710.7703624,28840,11.7,94691328,0
1789553712.7863073,28840,10.1,94138368,0
1789553714.8091202,28840,11.0,94375936,0
1789553716.8222451,28840,9.6,94199808,0
1789553718.8453617,28840,11.9,94097408,0
1789553720.8585868,28840,10.7,165720064,0
1789553722.8721278,28840,10.6,93253632,0
1789553724.8854282,28840,9.8,93978624,0
1789553726.8955424,28840,10.1,94851072,0
1789553728.921959,28840,10.2,94179328,0
1789553730.9455986,28840,12.2,94195712,0
1789553732.9566326,28840,10.7,94642176,0
1789553734.9877293,28840,10.3,94769152,0
1789553737.009535,28840,10.2,94773248,0
1789553739.0335567,28840,10.2,94810112,0
1789553741.046603,28840,9.1,94982144,0
1789553743.071799,28840,13.8,95412224,0
1789553745.082742,28840,9.3,93958144,0
1789553747.0991092,28840,11.3,94826496,0
1789553749.119751,28840,10.2,94760960,0
1789553751.132722,28840,11.7,94085120,0
1789553753.1579723,28840,14.2,94302208,0
1789553755.1737456,28840,11.4,93999104,0
1789553757.1934836,28840,12.6,94482432,0
1789553759.219725,28840,10.4,94072832,0
1789553761.2435904,28840,12.0,94285824,0
1789553763.2672703,28840,11.4,94093312,0
1789553765.2824545,28840,10.3,94531584,0
1789553767.3044143,28840,10.2,94072832,0
1789553769.323691,28840,11.0,94265344,0
1789553771.3478763,28840,11.1,93523968,0
1789553773.3744118,28840,10.2,94244864,0
1789553775.3861766,28840,9.6,153128960,0
1789553777.3970845,28840,10.1,94478336,0
1789553779.423267,28840,11.6,94957568,0
1789553781.4374304,28840,9.1,94158848,0
1789553783.4821894,28840,10.2,94572544,0
1789553785.5073528,28840,9.7,94756864,0
1789553787.532758,28840,9.3,94330880,0
1789553789.553153,28840,9.8,94617600,0
1789553791.565182,28840,14.7,94203904,0
1789553793.5905454,28840,9.4,94511104,0
1789553795.6191053,28840,10.0,93962240,0
1789553797.6433947,28840,9.7,94826496,0
1789553799.6711233,28840,9.8,93962240,0
1789553801.681614,28840,10.4,94785536,0
1789553803.6940622,28840,12.6,94482432,0
1789553805.7169914,28840,9.5,94830592,0
1789553807.7360134,28840,10.2,94576640,0
1789553809.7460625,28840,10.5,94855168,0
1789553811.7600029,28840,11.8,94613504,0
1789553813.784971,28840,12.0,94814208,0
1789553815.7960744,28840,10.0,94605312,0
1789553817.8091183,28840,9.0,94801920,0
1789553819.829509,28840,9.6,94773248,0
1789553821.8542175,28840,9.4,175443968,0
1789553823.8642313,28840,12.4,94789632,0
1789553825.8764157,28840,9.1,94789632,0
1789553827.9018338,28840,9.7,94593024,0
1789553829.9217713,28840,11.1,94785536,0
1789553831.936013,28840,10.0,94769152,0
1789553833.9599934,28840,10.2,94830592,0
1789553835.9717124,28840,11.5,94633984,0
1789553837.9943912,28840,11.9,94859264,0
1789553840.0152462,28840,9.9,94117888,0
1789553842.036536,28840,10.0,94814208,0
1789553844.0464609,28840,9.7,94867456,0
1789553846.0692544,28840,10.1,94871552,0
1789553848.0866323,28840,9.3,94765056,0
1789553850.110337,28840,11.1,94208000,0
1789553852.133731,28840,12.5,95072256,0
1789553854.15838,28840,11.8,95158272,0
1789553856.1695209,28840,8.9,95068160,0
1789553858.1837642,28840,10.9,95416320,0
1789553860.2020047,28840,10.0,95436800,0
1789553862.2233388,28840,11.0,127541248,0
