frame,H_star,J_k,E_k,grad_residual_k,centroid2_k,in_K0,qp_all_optimal,dissipation_slack_u_command
0,0.8140302496679026,0.06457490434169297,9.522535224208288e-08,0.07827264760868276,3.4237507005981813,1,1,-0.00041921998084348475
1,0.8034212350831651,0.06852826998021361,7.938061544571548e-08,0.08441358963273773,3.4443192469616863,1,1,-0.00043174881377098726
2,0.7922862664555677,0.07250050102163069,8.131055547114285e-08,0.09045372281456027,3.4572486696602462,1,1,-0.00043852383933376017
3,0.7806393077039651,0.07650967469411188,6.902646422468093e-08,0.09631345001708003,3.4591071204234054,1,1,-0.0004431565457526064
4,0.7684943851554075,0.08056627162316446,4.160685239219426e-08,0.10194527737772237,3.4522336485702345,1,1,-0.0004412943666590591
5,0.7558670716903685,0.08466460934096395,9.863069683149903e-08,0.10729173000523946,3.4378387421696583,1,1,-0.0004338301153461524
6,0.7427732648214446,0.08874187261250316,6.427126304969746e-08,0.1122528497367075,3.4121792179779957,1,1,-0.00044040377963334813
7,0.7292228789127886,0.09282191509546718,3.5791104797811836e-08,0.11680234035636282,3.378346061522223,1,1,-0.0004471015557356694
8,0.7152344350213538,0.09690811557901512,6.266358429629994e-08,0.12088992304714234,3.3386324665120246,1,1,-0.00044524838362281806
9,0.7008338306490014,0.10094363868466658,9.721832491897821e-08,0.12442008805966746,3.2910831937056644,1,1,-0.0004435593598621952
10,0.6860501727698893,0.10494324834423624,1.1349316277198265e-07,0.12741734506698166,3.2363161352321264,1,1,-0.0004384707129680733
11,0.6709127758014313,0.10889107009949155,8.658672761858212e-08,0.12981345940311198,3.1759675840469708,1,1,-0.000429723593724108
12,0.6554535134061099,0.11279240243078548,5.330246328334845e-08,0.13163222071347633,3.1118957920264956,1,1,-0.0004170773495640809
13,0.6397032976870203,0.11663352790297574,1.1973031977128848e-07,0.13287128145058816,3.0437560468543587,1,1,-0.0004090702315529011
14,0.623686972382598,0.12038545523957117,9.230756115023948e-08,0.13348339148381644,2.971173530475576,1,1,-0.00040616258249606685
15,0.6074343931709102,0.12370037661861355,7.292470695821456e-08,0.13347036082843472,2.8952612162034397,1,1,-0.00040230395759210946
16,0.5910010223600419,0.12557105532844978,7.204384969836875e-08,0.13292180456170904,2.8161131091925062,1,1,-0.0003945814988557568
17,0.5744936716880114,0.1273818551606975,8.70954964136483e-08,0.13185895858509494,2.7339723490658026,1,1,-0.0003863587266536052
18,0.5579405663689601,0.12916374205045028,1.0587365471259934e-07,0.13039021051999727,2.650747037406478,1,1,-0.0003782049781230999
19,0.5413643121029037,0.13015429079996618,9.954338659546599e-08,0.12863391992122292,2.567386663139647,1,1,-0.0003626620641465281
20,0.5248296116182256,0.1305343721886422,1.0568010898383071e-07,0.12654087600365363,2.483882556159879,1,1,-0.0003450176159148742
21,0.5083873508076588,0.13021061364303502,9.915878103398079e-08,0.12417158906203904,2.3992411825775997,1,1,-0.0003395489313954142
22,0.4920814751028227,0.1283677889894821,9.216874241262379e-08,0.12161093653674365,2.31483320553638,1,1,-0.00033065464005140044
23,0.47600938325976017,0.12608177408946622,8.675522260408799e-08,0.11886579538210908,2.2307918099767132,1,1,-0.00032049921004089627
24,0.46020606936692116,0.12391904098300367,8.036947042411537e-08,0.11605342102484745,2.1482195609562513,1,1,-0.0003067910748387158
25,0.44467302809799586,0.12190674060224947,1.2337977929273067e-07,0.11323216523930842,2.067439923460311,1,1,-0.00028738254204889284
26,0.4294110923836897,0.12001322787109232,1.2024646803104448e-07,0.11029251124341018,1.9872354663109886,1,1,-0.00027884467309809494
27,0.4144147029036286,0.11822355194546119,4.1565945638260093e-08,0.1071922193270265,1.9069218331957192,1,1,-0.0002672931551310192
28,0.3996973756414025,0.11617718467782599,2.730833048035954e-08,0.10397453367567197,1.826572147922087,1,1,-0.0002523855764112442
29,0.3852910676379663,0.113955390283856,7.089650398885404e-08,0.10070311540933562,1.7464719550318726,1,1,-0.00022888236689686155
