t,pid,cpu_percent,rss,children
1789549190.8724372,22716,0.0,88854528,0
1789549192.896886,22716,77.0,90357760,16
1789549194.926989,22716,85.3,90767360,16
1789549197.4981089,22716,87.9,91582464,16
1789549199.9073539,22716,87.6,91586560,16
1789549202.2236874,22716,87.8,91590656,16
1789549204.464102,22716,87.5,91590656,16
1789549206.7455983,22716,87.5,91602944,16
1789549209.0115805,22716,87.7,91602944,16
1789549211.3212526,22716,87.5,91602944,16
1789549213.6286154,22716,87.7,91602944,16
1789549215.8895361,22716,87.6,91602944,16
1789549218.193307,22716,87.1,91602944,16
1789549220.721279,22716,88.1,91607040,16
1789549222.84491,22716,87.4,91607040,16
1789549224.968069,22716,87.9,91607040,16
1789549227.0075924,22716,87.3,91607040,16
1789549229.1772516,22716,87.6,91607040,16
1789549231.3836284,22716,87.4,91607040,16
1789549233.6491938,22716,87.6,91607040,16
1789549235.933158,22716,87.6,91607040,16
1789549238.1820009,22716,87.6,91607040,16
1789549240.411747,22716,87.6,91611136,16
1789549242.704591,22716,87.7,91611136,16
1789549244.8064775,22716,87.5,91611136,16
1789549247.0259445,22716,87.5,91611136,16
1789549249.3377416,22716,87.5,91553792,16
1789549251.626184,22716,87.6,91553792,16
1789549254.0418103,22716,87.7,91553792,16
1789549256.288676,22716,87.4,91553792,16
1789549258.5708146,22716,87.6,91553792,16
1789549260.8931804,22716,87.6,91553792,16
1789549263.2108629,22716,87.6,91566080,16
1789549265.5294774,22716,87.6,91566080,16
1789549267.743355,22716,87.6,91566080,16
1789549270.0593786,22716,87.5,91566080,16
1789549272.3854887,22716,87.6,91570176,16
1789549274.660391,22716,87.6,91570176,16
1789549276.6999125,22716,87.4,91570176,16
1789549278.957148,22716,87.5,91570176,16
1789549281.2577775,22716,87.6,91570176,16
1789549283.5522964,22716,87.5,91570176,16
1789549285.8423097,22716,87.7,91574272,16
1789549287.9010563,22716,87.5,91574272,16
1789549290.1825593,22716,87.6,91574272,16
1789549292.4353044,22716,87.5,91578368,16
1789549294.7513404,22716,87.6,91578368,16
1789549297.0364256,22716,87.4,91578368,16
1789549299.3763113,22716,87.3,91578368,16
1789549301.718823,22716,88.0,91578368,16
1789549304.0216417,22716,87.5,91578368,16
1789549306.2950172,22716,87.4,91582464,16
1789549308.5902932,22716,87.6,91582464,16
1789549310.8497634,22716,87.5,91582464,16
1789549313.1475892,22716,87.6,91561984,16
1789549315.4329343,22716,87.5,91561984,16
1789549317.7065008,22716,87.5,91574272,16
1789549319.842263,22716,87.6,91574272,16
1789549322.122995,22716,87.6,91574272,16
1789549324.3747177,22716,87.5,91533312,16
1789549326.64027,22716,87.5,91533312,16
1789549328.8141873,22716,87.5,91537408,16
1789549331.0924287,22716,87.5,91537408,16
1789549333.3911018,22716,87.7,91537408,16
1789549335.671617,22716,87.6,91537408,16
1789549337.9290037,22716,87.4,91537408,16
1789549340.270186,22716,87.6,91537408,16
1789549342.496917,22716,87.5,91537408,16
1789549344.8073716,22716,87.6,91541504,16
1789549347.0666857,22716,87.4,91541504,16
1789549349.350586,22716,87.6,91541504,16
1789549351.6121001,22716,87.6,91541504,16
1789549354.0927753,22716,87.5,91541504,16
1789549356.3877642,22716,87.6,91541504,16
1789549358.568881,22716,87.6,91541504,16
1789549360.8202226,22716,87.5,91607040,16
1789549363.1033292,22716,87.5,91607040,16
1789549365.4654005,22716,87.7,91607040,16
1789549367.7926354,22716,87.4,91607040,16
1789549370.0996628,22716,87.8,91607040,16
1789549372.3745706,22716,87.5,91607040,16
1789549374.6801534,22716,87.6,91607040,16
1789549376.9636393,22716,87.6,91607040,16
1789549379.236604,22716,87.6,91607040,16
1789549381.5203474,22716,87.6,91607040,16
1789549383.841083,22716,87.5,91607040,16
1789549386.0825932,22716,87.5,91607040,16
1789549388.3631458,22716,87.7,91607040,16
1789549390.4448845,22716,87.4,91607040,16
1789549392.6297581,22716,87.6,91607040,16
1789549394.9376514,22716,87.6,91607040,16
1789549397.2051272,22716,87.6,91607040,16
1789549399.4575124,22716,87.5,91607040,16
1789549401.7580132,22716,87.6,91607040,16
1789549404.0332375,22716,87.5,91607040,16
1789549406.5465262,22716,87.6,91607040,16
1789549408.8637297,22716,87.5,91607040,16
1789549411.1321588,22716,87.6,91607040,16
1789549413.408237,22716,87.5,91607040,16
1789549415.6762662,22716,87.6,91607040,16
1789549417.882341,22716,87.6,91611136,16
1789549420.16965,22716,87.6,91623424,16
1789549422.4484248,22716,87.6,91623424,16
1789549424.6986506,22716,86.2,91623424,16
1789549426.9851696,22716,87.5,91623424,16
1789549429.2776644,22716,87.6,91623424,16
1789549431.5956187,22716,87.5,91623424,16
1789549434.0277667,22716,87.6,91623424,16
1789549436.3125007,22716,87.5,91623424,16
1789549438.6207936,22716,87.6,91623424,16
1789549440.9571402,22716,87.5,91623424,16
1789549443.2471356,22716,87.6,91623424,16
1789549445.6102533,22716,87.6,91623424,16
1789549447.9518354,22716,87.8,91623424,16
1789549450.265516,22716,87.8,91623424,16
1789549452.306548,22716,87.5,91623424,16
1789549454.562965,22716,87.6,91623424,16
1789549456.7176669,22716,87.6,91623424,16
1789549458.986614,22716,87.4,91623424,16
1789549461.2347884,22716,87.6,91623424,16
1789549463.5633724,22716,87.5,91623424,16
1789549465.8934095,22716,87.6,91623424,16
1789549468.2081697,22716,87.5,91623424,16
1789549470.490167,22716,87.7,91623424,16
1789549472.7050736,22716,87.4,91627520,16
1789549474.9635496,22716,87.7,91627520,16
1789549477.17531,22716,87.5,91631616,16
1789549479.4469292,22716,87.8,91639808,16
1789549481.6008172,22716,87.5,91639808,16
1789549483.883761,22716,87.5,91639808,16
1789549486.1910775,22716,87.6,91639808,16
1789549488.4497113,22716,87.6,91639808,16
1789549490.7129471,22716,87.5,91779072,16
1789549493.008199,22716,87.6,91779072,16
1789549495.318917,22716,87.5,91779072,16
1789549497.55116,22716,87.6,91779072,16
1789549499.826006,22716,87.6,91779072,16
1789549502.0894346,22716,87.5,91779072,16
1789549504.3560863,22716,87.6,91779072,16
1789549506.652762,22716,87.6,91779072,16
1789549508.9256556,22716,87.6,91779072,16
1789549511.2468083,22716,87.5,91779072,16
1789549513.512096,22716,87.6,91779072,16
1789549515.8089375,22716,87.6,91779072,16
1789549518.2662392,22716,87.6,91779072,16
1789549520.5461571,22716,87.1,91779072,16
1789549522.945467,22716,88.0,91779072,16
1789549525.3195899,22716,87.5,91783168,16
1789549527.6062093,22716,87.6,91783168,16
1789549529.8840466,22716,87.5,91783168,16
1789549532.0778477,22716,87.6,91783168,16
1789549534.3847773,22716,87.5,91783168,16
1789549536.6881695,22716,87.7,91783168,16
1789549538.954657,22716,87.5,91783168,16
1789549541.2463534,22716,87.6,91795456,16
1789549543.4889,22716,87.5,91795456,16
1789549545.7878966,22716,87.6,91795456,16
1789549548.0894713,22716,87.5,91795456,16
1789549550.3177452,22716,87.6,91795456,16
1789549552.5991447,22716,87.5,91803648,16
1789549554.884406,22716,87.6,91807744,16
1789549557.1629915,22716,87.6,91807744,16
1789549559.4618182,22716,87.6,91807744,16
1789549561.5010657,22716,87.4,91807744,16
1789549563.809543,22716,87.6,91807744,16
1789549566.0765674,22716,87.5,91807744,16
1789549568.2263858,22716,87.5,91811840,16
1789549570.4517884,22716,87.6,91811840,16
1789549572.7182684,22716,87.6,91811840,16
1789549574.995415,22716,87.4,91811840,16
1789549577.2979462,22716,87.8,91811840,16
1789549579.3866868,22716,87.4,91811840,16
1789549581.6476457,22716,87.5,91811840,16
1789549583.8683147,22716,87.5,91877376,16
1789549586.1145127,22716,87.6,91877376,16
1789549588.4082642,22716,87.6,91877376,16
1789549590.705283,22716,87.6,91877376,16
1789549592.974338,22716,87.5,91836416,16
1789549595.2399807,22716,87.5,91836416,16
1789549597.514773,22716,87.7,91836416,16
1789549599.7642272,22716,87.5,91836416,16
1789549602.0365624,22716,87.4,91836416,16
1789549604.3205237,22716,87.6,91836416,16
1789549606.5650368,22716,87.7,91836416,16
1789549608.7531214,22716,87.5,91836416,16
1789549611.0403814,22716,87.6,91836416,16
1789549613.338862,22716,87.5,91836416,16
1789549615.5558405,22716,87.6,91836416,16
1789549617.822706,22716,87.5,91836416,16
1789549620.1088886,22716,87.8,91836416,16
1789549622.208479,22716,87.4,91836416,16
1789549624.4904425,22716,87.5,91836416,16
1789549626.749511,22716,87.7,91836416,16
1789549628.875587,22716,87.6,91836416,16
1789549631.0541828,22716,87.5,91836416,16
1789549633.301869,22716,87.6,91836416,16
1789549635.5747576,22716,87.7,91836416,16
1789549637.8432436,22716,87.6,91836416,16
1789549639.92317,22716,87.4,91836416,16
1789549642.2017224,22716,87.6,91836416,16
1789549644.4795651,22716,87.5,91836416,16
1789549646.7793314,22716,87.6,91836416,16
1789549649.0602653,22716,87.6,91836416,16
1789549651.274982,22716,87.5,91836416,16
1789549653.5460918,22716,87.6,91836416,16
1789549655.804356,22716,87.5,91836416,16
1789549658.0697334,22716,87.6,91836416,16
1789549660.3262632,22716,87.6,91836416,16
1789549662.6282058,22716,87.6,91836416,16
1789549664.9005983,22716,87.5,91836416,16
1789549667.2181218,22716,87.5,91836416,16
1789549669.4878848,22716,87.6,91836416,16
1789549671.7507412,22716,87.6,91836416,16
1789549674.110834,22716,87.4,91836416,16
1789549676.4201822,22716,87.6,91836416,16
1789549678.6982896,22716,87.5,91836416,16
1789549680.970243,22716,87.5,91836416,16
1789549683.2818635,22716,87.6,91836416,16
1789549685.5601556,22716,87.5,91836416,16
1789549687.8252208,22716,87.5,91836416,16
1789549690.150282,22716,87.6,91836416,16
1789549692.419821,22716,87.5,91836416,16
1789549694.7035084,22716,87.6,91836416,16
1789549696.976628,22716,87.5,91836416,16
1789549699.1432514,22716,87.6,91836416,16
1789549701.4061456,22716,87.5,91836416,16
1789549703.6772623,22716,87.7,91901952,16
1789549705.941347,22716,87.5,91901952,16
1789549708.1995726,22716,87.6,91901952,16
1789549710.4494312,22716,87.6,91901952,16
1789549712.7186024,22716,87.4,91901952,16
1789549714.8612242,22716,87.5,91901952,16
1789549717.1918557,22716,87.9,91901952,16
1789549719.2575042,22716,87.2,91901952,16
1789549721.5717945,22716,87.7,91901952,16
1789549723.8617876,22716,87.7,91901952,16
1789549725.9177818,22716,87.3,91901952,16
1789549728.1913068,22716,87.6,91901952,16
1789549730.2556434,22716,87.4,91901952,16
1789549732.5429265,22716,87.6,91901952,16
1789549734.8582284,22716,87.5,91901952,16
1789549737.1681666,22716,87.5,91901952,16
1789549739.4729156,22716,87.8,91901952,16
1789549741.56504,22716,87.3,91901952,16
1789549743.884471,22716,87.8,91901952,16
1789549745.9405427,22716,87.4,91901952,16
1789549748.228875,22716,87.6,91901952,16
1789549750.5138936,22716,87.7,91901952,16
1789549752.8108354,22716,87.6,91901952,16
1789549755.0680466,22716,87.6,91901952,16
1789549757.375549,22716,87.6,91901952,16
1789549759.6620488,22716,87.6,91901952,16
1789549761.9472604,22716,87.4,91901952,16
1789549764.2218575,22716,87.6,91901952,16
1789549766.511797,22716,87.5,91901952,16
1789549768.7871084,22716,87.7,91901952,16
1789549771.0741386,22716,87.4,91901952,16
1789549773.3450813,22716,87.6,91901952,16
1789549775.6000047,22716,87.8,91901952,16
1789549777.6520088,22716,87.3,91901952,16
1789549779.9278684,22716,87.6,91901952,16
1789549782.212263,22716,87.7,91901952,16
1789549784.276394,22716,87.4,91901952,16
1789549786.428045,22716,87.6,91901952,16
1789549788.71705,22716,87.4,91901952,16
1789549791.021122,22716,87.6,91942912,16
1789549793.3254342,22716,87.6,91942912,16
1789549795.616587,22716,87.5,91942912,16
1789549797.92516,22716,87.6,91942912,16
1789549800.3080633,22716,87.8,91942912,16
1789549802.6318784,22716,87.5,91942912,16
1789549804.9900615,22716,87.5,91942912,16
1789549807.2355828,22716,87.6,91942912,16
1789549809.5026119,22716,87.2,91942912,16
1789549811.7273774,22716,87.8,91942912,16
1789549814.0354176,22716,87.6,91942912,16
1789549816.3330126,22716,87.6,91942912,16
1789549818.6312165,22716,87.7,91942912,16
1789549820.7388523,22716,87.4,91942912,16
1789549823.0187144,22716,87.6,91942912,16
1789549825.3041112,22716,87.6,91942912,16
1789549827.4453492,22716,87.6,91942912,16
1789549829.7316656,22716,87.7,91942912,16
1789549831.9602845,22716,87.5,91942912,16
1789549834.2415216,22716,87.8,91942912,16
1789549836.282013,22716,87.3,91942912,16
1789549838.5822027,22716,87.6,91942912,16
1789549840.8513014,22716,87.6,91942912,16
1789549843.105965,22716,87.7,91942912,16
1789549845.3919802,22716,87.6,91942912,16
1789549847.4968956,22716,87.6,91942912,16
1789549849.7640522,22716,87.6,91942912,16
1789549852.0412488,22716,87.6,91942912,16
1789549854.397803,22716,87.7,91942912,16
1789549856.6025536,22716,87.6,91942912,16
1789549858.8759472,22716,87.6,91947008,16
1789549861.139799,22716,87.6,91906048,16
1789549863.425153,22716,87.6,91906048,16
1789549865.699464,22716,87.5,91906048,16
1789549867.9680154,22716,87.6,91906048,16
1789549870.241524,22716,87.6,91906048,16
1789549872.4537587,22716,87.6,91918336,16
1789549874.6818185,22716,87.5,91918336,16
1789549876.9563653,22716,87.6,91918336,16
1789549879.218115,22716,87.5,91918336,16
1789549881.477698,22716,87.7,91918336,16
1789549883.663509,22716,87.6,91918336,16
1789549885.9537127,22716,87.6,91918336,16
1789549888.2141016,22716,87.6,91918336,16
1789549890.4761589,22716,87.5,91918336,16
1789549892.7446597,22716,87.5,91918336,16
1789549895.0358956,22716,87.5,91918336,16
1789549897.3224902,22716,87.6,91918336,16
1789549899.5906453,22716,87.7,91918336,16
1789549901.6258106,22716,87.4,91918336,16
1789549903.9190242,22716,87.7,91934720,16
1789549906.2095795,22716,87.5,91934720,16
1789549908.5008366,22716,87.6,91934720,16
1789549910.766093,22716,87.5,91934720,16
1789549913.0543032,22716,87.8,91938816,16
1789549915.123638,22716,87.3,91938816,16
1789549917.376132,22716,87.6,91938816,16
1789549919.6534145,22716,87.5,91938816,16
1789549921.945469,22716,87.5,91938816,16
1789549924.154685,22716,87.6,91938816,16
1789549926.4262958,22716,87.5,91951104,16
1789549928.6995103,22716,87.7,91951104,16
1789549930.9760137,22716,87.5,91951104,16
1789549933.2431896,22716,87.6,91951104,16
1789549935.5395072,22716,87.5,91951104,16
1789549937.825839,22716,87.5,91951104,16
1789549940.0879056,22716,87.6,91951104,16
1789549942.3498757,22716,87.5,91951104,16
1789549944.618151,22716,87.5,91955200,16
1789549946.907925,22716,87.6,91955200,16
1789549949.196336,22716,87.6,91955200,16
1789549951.4595625,22716,87.5,91955200,16
1789549953.7560465,22716,87.6,91955200,16
1789549956.0584264,22716,87.6,91955200,16
1789549958.3283947,22716,87.5,91955200,16
1789549960.602779,22716,87.6,91955200,16
1789549962.8693,22716,87.6,91955200,16
1789549965.1474438,22716,87.4,91955200,16
1789549967.4207096,22716,87.6,91955200,16
1789549969.674654,22716,87.6,91959296,16
1789549971.9582613,22716,87.7,91959296,16
1789549974.2266138,22716,87.3,91959296,16
1789549976.5444114,22716,87.7,91959296,16
1789549978.8202555,22716,87.5,91959296,16
1789549981.1118374,22716,87.6,91971584,16
1789549983.417217,22716,87.6,91971584,16
1789549985.5370302,22716,87.5,91975680,16
1789549987.8242002,22716,87.5,91975680,16
1789549990.1101055,22716,87.6,91975680,16
1789549992.3989124,22716,87.6,91975680,16
1789549994.45404,22716,87.4,91979776,16
1789549996.7116156,22716,87.7,91987968,16
1789549998.7649457,22716,87.4,91992064,16
1789550001.0311852,22716,87.5,91992064,16
1789550003.147189,22716,87.6,91992064,16
1789550005.4676797,22716,87.6,91992064,16
1789550007.7361243,22716,87.5,91992064,16
1789550010.0150259,22716,87.6,91992064,16
1789550012.2647038,22716,87.5,91996160,16
1789550014.5509534,22716,87.4,91996160,16
1789550016.77068,22716,87.5,91996160,16
1789550019.0374768,22716,87.6,91996160,16
1789550021.375812,22716,87.5,91996160,16
1789550023.622527,22716,87.4,92000256,16
1789550025.9913838,22716,87.7,92000256,16
1789550028.260775,22716,87.6,92004352,16
1789550030.5307124,22716,87.5,92012544,16
1789550032.7999728,22716,87.5,92012544,16
1789550035.1331432,22716,87.7,92012544,16
1789550037.3384128,22716,87.3,92012544,16
1789550039.8691075,22716,87.8,92012544,16
1789550042.209582,22716,87.4,92012544,16
1789550044.5280838,22716,87.6,92012544,16
1789550046.9119096,22716,87.7,92012544,16
1789550049.2238858,22716,87.6,92012544,16
1789550051.521,22716,87.6,92012544,16
1789550053.7959397,22716,87.7,92012544,16
1789550055.9628568,22716,87.4,92012544,16
1789550058.2647088,22716,87.6,92012544,16
1789550060.5609398,22716,87.6,92012544,16
1789550062.870987,22716,87.4,92012544,16
1789550065.1297455,22716,87.9,92012544,16
1789550067.1698506,22716,87.3,92012544,16
1789550069.4796379,22716,87.6,92012544,16
1789550071.6555154,22716,87.5,92012544,16
1789550073.9371858,22716,87.5,92012544,16
1789550076.2567754,22716,87.5,92012544,16
1789550078.4473858,22716,87.6,92016640,16
1789550080.926629,22716,87.5,92033024,16
1789550083.3737395,22716,88.0,92033024,16
1789550085.5553806,22716,87.2,92033024,16
1789550087.939787,22716,87.7,92033024,16
1789550090.2200556,22716,87.5,92033024,16
1789550092.2857795,22716,87.5,92045312,16
1789550094.5831883,22716,87.5,92045312,16
1789550096.84949,22716,87.4,92045312,16
1789550099.179491,22716,87.7,92045312,16
1789550101.4599526,22716,87.6,92045312,16
1789550103.8029501,22716,87.7,92045312,16
1789550106.1004803,22716,87.2,92045312,16
1789550108.6498392,22716,87.9,92045312,16
1789550110.9971251,22716,87.6,92045312,16
