seed,metric,ref,new,abs_err,rel_err
2,centroid2_average,0.23183084061822518,0.2318308200593918,2.055883338569764e-08,8.868032109478286e-08
2,centroid2_final,0.06668639578581737,0.0666854515456992,9.442401181641857e-07,1.4159411481719388e-05
2,gradient2_average,0.01378592473482219,0.01378592372520712,1.009615070365899e-09,7.323520835825316e-08
2,gradient2_final,0.0028522825894804695,0.0028522398449347397,4.274454572976774e-08,1.4986083737780509e-05
2,gradient2_initial,0.08181506696114745,0.0818150669611475,5.551115123125783e-17,6.784954568040514e-16
2,max_gradient2,0.11550389501803879,0.11550389501803887,8.326672684688674e-17,7.208997309907387e-16
2,max_reference_centroid_refinement_error,0.0002036375285830625,0.0002036375285821014,9.610910157997754e-16,4.719616381553915e-12
2,min_continuous_hold_distance,0.28010899992644067,0.28010899992644117,4.996003610813204e-16,1.7835926771810953e-15
2,min_pair_halfrow,-5.551115123125783e-17,-4.5102810375396984e-17,1.0408340855860843e-17,0.1875
2,solver.max_modification_norm,0.6243024267778989,0.6243024270051452,2.272462218400051e-10,3.640002217036588e-10
2,wall_seconds,43.585206738000124,33.84722989995498,9.737976838045142,0.22342389922760206
5,centroid2_average,0.23495490692653845,0.23442235082395207,0.0005325561025863734,0.0022666311146797356
5,centroid2_final,0.06907758151624482,0.06895379707698143,0.00012378443926339133,0.0017919625520514382
5,centroid2_initial,3.22947732868408,3.2294773286840814,1.3322676295501878e-15,4.1253351361752657e-16
5,gradient2_average,0.01316546891141738,0.0131761829814147,1.0714069997318915e-05,0.0008131391323596029
5,gradient2_final,0.0030611739573063084,0.0030864733079977143,2.529935069140593e-05,0.008196847394030555
5,gradient2_initial,0.1051278550069673,0.10512785500696728,1.3877787807814457e-17,1.3200866513346737e-16
5,max_centroid2,3.22947732868408,3.2294773286840814,1.3322676295501878e-15,4.1253351361752657e-16
5,max_gradient2,0.11258474761686996,0.11258474761687004,8.326672684688674e-17,7.395915397905089e-16
5,max_reference_centroid_refinement_error,0.0007285475061191592,0.0007285475061189399,2.1933409949381755e-16,3.0105668834441644e-13
5,min_continuous_hold_distance,0.2806561799990765,0.28065617999832315,7.533418333594e-13,2.6842160873203607e-12
5,saturation_fraction,0.08552083333333334,0.08520833333333333,0.0003125000000000072,0.0036540803897686593
5,solver.inside_margin_band,17,14,3.0,0.17647058823529413
5,solver.max_modification_norm,0.559995671017475,0.5599956711563527,1.3887768712805837e-10,2.4799778691375496e-10
5,solver.zero_input_feasible_failures,445,457,12.0,0.0262582056892779
5,wall_seconds,43.94903678599985,33.15366960002575,10.7953671859741,0.24563376072471763
8,centroid2_average,0.2817631934031505,0.2856507066202194,0.0038875132170689275,0.013609324699614641
8,centroid2_final,0.07849528771802053,0.08772507208545852,0.009229784367437988,0.10521261650770344
8,gradient2_average,0.014179042108772754,0.014258420240208177,7.937813143542305e-05,0.005567105618866519
8,gradient2_final,0.0033635619150476064,0.003978322273066739,0.0006147603580191324,0.15452754096395432
8,gradient2_initial,0.0862806182880064,0.08628061828800643,2.7755575615628914e-17,3.21689577176884e-16
8,max_gradient2,0.12279184384590844,0.1227918438459086,1.6653345369377348e-16,1.3562256944586335e-15
8,max_reference_centroid_refinement_error,0.00046923839745101776,0.00046923839745017436,8.434008699764739e-16,1.7973824703135333e-12
8,min_continuous_hold_distance,0.2800092893923881,0.28000282947831306,6.459914075052087e-06,2.3070356305213694e-05
8,min_pair_halfrow,-5.984795992119984e-17,-5.551115123125783e-17,4.336808689942018e-18,0.07246376811594203
8,saturation_fraction,0.10729166666666666,0.09322916666666667,0.014062499999999992,0.13106796116504849
8,solver.barrier_scalings,0,8,8.0,1.0
8,solver.inside_margin_band,4,7,3.0,0.42857142857142855
8,solver.max_modification_norm,0.6150326936372256,0.5551060658598259,0.059926627777399655,0.09743649142129528
8,solver.min_barrier_scale,1.0,0.7109375,0.2890625,0.2890625
8,solver.statuses.optimal,9600,9592,8.0,0.0008333333333333334
8,solver.zero_input_feasible_failures,343,324,19.0,0.05539358600583091
8,wall_seconds,42.17673203999993,32.14277239999501,10.033959640004923,0.23790272870095364
