frame,time,delta_H,rhs_u_command,slack_u_command,rhs_u_saturated,slack_u_saturated,rhs_u_cvt,slack_u_cvt
0,0.0,-0.014412400687909388,-0.01396662466109727,-0.00044577602681211866,-0.01396662466109727,-0.00044577602681211866,-0.017890866943489247,0.003478466255579859
1,0.05,-0.014765071737765534,-0.014326067227379275,-0.0004390045103862591,-0.014326067227379275,-0.0004390045103862591,-0.018188925258431587,0.003423853520666053
2,0.1,-0.015037405080381872,-0.014596181432056978,-0.00044122364832489304,-0.01459618143205698,-0.0004412236483248913,-0.018462800739983472,0.0034253956596016003
3,0.15000000000000002,-0.015278398423235084,-0.014838530260289069,-0.00043986816294601556,-0.014838530260289069,-0.00043986816294601556,-0.018657337737763798,0.003378939314528713
4,0.2,-0.015527433928187562,-0.015090919016377371,-0.00043651491181019055,-0.015090919016377371,-0.00043651491181019055,-0.01881334610701012,0.0032859121788225594
5,0.25,-0.015738630286755373,-0.015306408346035295,-0.0004322219407200782,-0.015306408346035295,-0.0004322219407200782,-0.01893519959326612,0.003196569306510747
6,0.30000000000000004,-0.015952205332743996,-0.015525242973669437,-0.0004269623590745595,-0.015525242973669437,-0.0004269623590745595,-0.019028111061626003,0.003075905728882007
7,0.35000000000000003,-0.016158410739740225,-0.01573452704031676,-0.00042388369942346696,-0.01573452704031676,-0.00042388369942346696,-0.01909986326785516,0.0029414525281149344
8,0.4,-0.016343828940456828,-0.015924249269343493,-0.00041957967111333483,-0.015924249269343493,-0.00041957967111333483,-0.019152557364859938,0.00280872842440311
9,0.45,-0.01649933887210353,-0.01607887795881926,-0.0004204609132842721,-0.01607887795881926,-0.0004204609132842721,-0.019172854223031235,0.002673515350927705
10,0.5,-0.016535928240546727,-0.016125226784422384,-0.0004107014561243426,-0.016125226784422384,-0.0004107014561243426,-0.019176411707329106,0.002640483466782379
11,0.55,-0.01650559913153138,-0.01610836625834504,-0.00039723287318634004,-0.016108366258345042,-0.00039723287318633657,-0.0189822343896333,0.0024766352581019196
12,0.6000000000000001,-0.0165059046523357,-0.01612049658225875,-0.00038540807007695146,-0.01612049658225875,-0.00038540807007695146,-0.01886698626407145,0.00236108161173575
13,0.65,-0.01651655839051347,-0.016135798259669553,-0.0003807601308439164,-0.016135798259669553,-0.0003807601308439164,-0.01872738637950947,0.0022108279889960017
14,0.7000000000000001,-0.016486369575967608,-0.016110421423610896,-0.00037594815235671153,-0.016110421423610896,-0.00037594815235671153,-0.018532855420615373,0.0020464858446477656
15,0.75,-0.016392850757006028,-0.01602793149661726,-0.00036491926038876785,-0.01602793149661726,-0.00036491926038876785,-0.018316162748491308,0.0019233119914852798
16,0.8,-0.01626202559333445,-0.01591763003842667,-0.00034439555490778026,-0.01591763003842667,-0.00034439555490778026,-0.017962891815654303,0.0017008662223198523
17,0.8500000000000001,-0.016169192551541145,-0.015840755772243864,-0.0003284367792972809,-0.015840755772243864,-0.0003284367792972809,-0.017662006041155184,0.0014928134896140394
18,0.9,-0.016017362151874437,-0.015695177281347707,-0.0003221848705267302,-0.015695177281347707,-0.0003221848705267302,-0.017323148074767952,0.0013057859228935154
19,0.9500000000000001,-0.01579826815110008,-0.015500708927542822,-0.00029755922355725883,-0.015500708927542822,-0.00029755922355725883,-0.017040998965682567,0.0012427308145824857
20,1.0,-0.015238026873843569,-0.014965983035089331,-0.00027204383875423753,-0.01523653525837913,-1.4916154644391277e-06,-0.016721017347389656,0.0014829904735460878
21,1.05,-0.014641882650390459,-0.014394211464902185,-0.0002476711854882737,-0.014850851626845877,0.0002089689764554186,-0.016138399320741563,0.0014965166703511043
22,1.1,-0.014220896312022835,-0.013994614951955638,-0.0002262813600671966,-0.014550117313758647,0.0003292210017358122,-0.015714532374775582,0.001493636062752747
23,1.1500000000000001,-0.013735477883733194,-0.013511860202997035,-0.00022361768073615902,-0.01410364363533447,0.00036816575160127617,-0.015081851546653023,0.0013463736629198298
24,1.2000000000000002,-0.013292624755215643,-0.01310506100843099,-0.00018756374678465318,-0.01369512700735948,0.0004025022521438378,-0.014499592579032373,0.0012069678238167299
25,1.25,-0.012829758928757706,-0.012624452625991411,-0.00020530630276629526,-0.013194989432330701,0.0003652305035729952,-0.013914367883430196,0.0010846089546724894
26,1.3,-0.012284322205776799,-0.012114205985237615,-0.0001701162205391838,-0.012662529250112024,0.0003782070443352249,-0.013284855787760884,0.0010005335819840856
27,1.35,-0.011866198785172144,-0.011685781332464291,-0.00018041745270785253,-0.012194721186225867,0.0003285224010537227,-0.012764248681104262,0.0008980498959321181
28,1.4000000000000001,-0.011378912652278195,-0.011225414045358522,-0.00015349860691967268,-0.011707234168540786,0.0003283215162625912,-0.01223872921688944,0.000859816564611246
29,1.4500000000000002,-0.010970592909913979,-0.010809469185671699,-0.00016112372424227986,-0.011253269627277634,0.0002826767173636554,-0.011704170905849692,0.0007335779959357133
30,1.5,-0.010575210969808402,-0.010404785590291388,-0.0001704253795170134,-0.010824204219913886,0.00024899325010548437,-0.011261608781189612,0.0006863978113812105
31,1.55,-0.010201618912614063,-0.010028498457185458,-0.00017312045542860512,-0.01039194390224778,0.00019032498963371738,-0.01078173394993622,0.0005801150373221566
32,1.6,-0.009907665181090097,-0.00973004256760092,-0.00017762261348917667,-0.010072416492133753,0.00016475131104365555,-0.01043800280194969,0.0005303376208595934
33,1.6500000000000001,-0.009536086064912297,-0.00934451406979428,-0.00019157199511801726,-0.009646448135099635,0.00011036207018733785,-0.009981485128010593,0.0004453990630982965
34,1.7000000000000002,-0.009138478383605264,-0.009020556693412594,-0.00011792169019267038,-0.009307235715407095,0.00016875733180183108,-0.009596452130669704,0.00045797374706444023
35,1.75,-0.008639011436269661,-0.00850389881791542,-0.0001351126183542408,-0.008975374354116555,0.00033636291784689375,-0.009229735313512408,0.0005907238772427468
36,1.8,-0.008242797603650542,-0.008076383441374273,-0.00016641416227626896,-0.00871401481916104,0.0004712172155104978,-0.008919975807942404,0.0006771782042918617
37,1.85,-0.00791923608394407,-0.007736044201020016,-0.00018319188292405426,-0.008453237548757962,0.0005340014648138915,-0.008607748447844081,0.0006885123639000113
38,1.9000000000000001,-0.007603325648632087,-0.007412102464740431,-0.0001912231838916553,-0.008145481742174276,0.0005421560935421899,-0.00824405369794749,0.0006407280493154026
39,1.9500000000000002,-0.00740272463412639,-0.007224219039439943,-0.0001785055946864466,-0.007972613648192173,0.0005698890140657838,-0.008057759109846978,0.0006550344757205884
40,2.0,-0.0071878082664851295,-0.007046321509966862,-0.00014148675651826786,-0.007797975821367586,0.0006101675548824568,-0.007856996358685291,0.0006691880922001618
41,2.0500000000000003,-0.007041004227910652,-0.006899510383883373,-0.00014149384402727897,-0.007639577884667091,0.000598573656756439,-0.007680714993079051,0.0006397107651683991
42,2.1,-0.0068872691620912585,-0.006741573089114968,-0.00014569607297629066,-0.00744192531152446,0.0005546561494332016,-0.0074638105382594504,0.0005765413761681919
43,2.15,-0.006740691712337821,-0.006591423156574102,-0.00014926855576371904,-0.007265881884038368,0.000525190171700547,-0.007266719126608662,0.0005260274142708417
44,2.2,-0.006625077565734605,-0.006490909717280454,-0.00013416784845415083,-0.007137859588997164,0.0005127820232625592,-0.007137859588997164,0.0005127820232625592
45,2.25,-0.006523143770919226,-0.006340896859594135,-0.0001822469113250914,-0.006970872543512357,0.00044772877259313063,-0.006987328073368055,0.00046418430244882843
46,2.3000000000000003,-0.0063622137570416015,-0.00621067476431368,-0.00015153899272792124,-0.006828970912148146,0.00046675715510654473,-0.006893983776289105,0.0005317700192475038
47,2.35,-0.006254689464247676,-0.006120001581188569,-0.0001346878830591064,-0.006715023908950566,0.0004603344447028906,-0.00677899458994487,0.0005243051256971941
48,2.4000000000000004,-0.006213388114709284,-0.006037267437719941,-0.00017612067698934315,-0.006615071987471065,0.00040168387276178115,-0.006667786814840623,0.00045439870013133914
49,2.45,-0.006114237143012513,-0.005975440982132873,-0.0001387961608796404,-0.00654261862942036,0.00042838148640784654,-0.00654261862942036,0.00042838148640784654
50,2.5,-0.006016325225062458,-0.005859096141585154,-0.0001572290834773041,-0.006417951303365523,0.00040162607830306497,-0.006417951303365523,0.00040162607830306497
51,2.5500000000000003,-0.005897081820434136,-0.005763825855243534,-0.00013325596519060158,-0.006312577863405475,0.0004154960429713396,-0.006312577863405475,0.0004154960429713396
52,2.6,-0.005751209403564439,-0.005611095843983593,-0.00014011355958084594,-0.006194749395007208,0.00044353999144276877,-0.006194749395007208,0.00044353999144276877
53,2.6500000000000004,-0.005671266133955966,-0.005536680589271602,-0.00013458554468436315,-0.006116048644173774,0.00044478251021780844,-0.006116048644173774,0.00044478251021780844
54,2.7,-0.005629070370514411,-0.005496394221313057,-0.0001326761492013535,-0.006055534535907394,0.0004264641653929837,-0.006055534535907394,0.0004264641653929837
55,2.75,-0.00552922698405256,-0.005392398303607795,-0.00013682868044476507,-0.005933514108369919,0.00040428712431735906,-0.005933514108369919,0.00040428712431735906
56,2.8000000000000003,-0.005424706657591427,-0.005323671218034824,-0.00010103543955660311,-0.005842666785369049,0.000417960127777622,-0.005842666785369049,0.000417960127777622
57,2.85,-0.00535842858477209,-0.005232681444308046,-0.00012574714046404388,-0.005739886741851815,0.00038145815707972455,-0.005739886741851815,0.00038145815707972455
58,2.9000000000000004,-0.005188752492831794,-0.005105177527369407,-8.357496546238744e-05,-0.005605169488365143,0.00041641699553334865,-0.005605169488365143,0.00041641699553334865
59,2.95,-0.005088138936390818,-0.005000229083898753,-8.790985249206539e-05,-0.005488600122644778,0.0004004611862539597,-0.005488600122644778,0.0004004611862539597
60,3.0,-0.004883532297193183,-0.004800021877339526,-8.351041985365636e-05,-0.005267606991969681,0.00038407469477649836,-0.005267606991969681,0.00038407469477649836
