frame,time,delta_H,rhs_u_command,slack_u_command,rhs_u_saturated,slack_u_saturated,rhs_u_cvt,slack_u_cvt
0,0.0,-0.010318945574435245,-0.009859281463796393,-0.0004596641106388525,-0.009859281463796393,-0.0004596641106388525,-0.014643950349610173,0.004325004775174928
1,0.05,-0.010935564533863351,-0.010470921656717416,-0.00046464287714593523,-0.010470921656717416,-0.00046464287714593523,-0.015423206430995005,0.004487641897131654
2,0.1,-0.011552105261885659,-0.011076233421758128,-0.000475871840127531,-0.01107623342175813,-0.0004758718401275293,-0.016202945215909675,0.004650839954024016
3,0.15000000000000002,-0.012161605808737486,-0.011679623185226974,-0.0004819826235105112,-0.011679623185226976,-0.00048198262351050944,-0.016981188500530285,0.0048195826917927995
4,0.2,-0.01276138889841727,-0.012276625508741666,-0.00048476338967560345,-0.012276625508741666,-0.00048476338967560345,-0.017693037988352193,0.004931649089934924
5,0.25,-0.01334145805654896,-0.012855272773364302,-0.0004861852831846581,-0.012855272773364302,-0.0004861852831846581,-0.018327798689749906,0.004986340633200945
6,0.30000000000000004,-0.013906422642576244,-0.01341361264625359,-0.0004928099963226532,-0.01341361264625359,-0.0004928099963226532,-0.018956354896547793,0.005049932253971549
7,0.35000000000000003,-0.014453733103171662,-0.013957179391102194,-0.0004965537120694679,-0.013957179391102196,-0.0004965537120694662,-0.019502761109822173,0.0050490280066505105
8,0.4,-0.014974538651214342,-0.014480528647718354,-0.0004940100034959878,-0.014480528647718354,-0.0004940100034959878,-0.020022791542162372,0.00504825289094803
9,0.45,-0.015467532179015642,-0.014972159123925455,-0.0004953730550901862,-0.014972159123925455,-0.0004953730550901862,-0.020499342931434582,0.005031810752418941
10,0.5,-0.01593814102447222,-0.015440894961596082,-0.0004972460628761364,-0.015440894961596082,-0.0004972460628761364,-0.020903199518706984,0.004965058494234766
11,0.55,-0.01638426865302367,-0.01588911920287771,-0.000495149450145959,-0.01588911920287771,-0.000495149450145959,-0.021231897428031363,0.004847628775007693
12,0.6000000000000001,-0.01679991755044219,-0.016311931311952327,-0.00048798623848986256,-0.016311931311952327,-0.00048798623848986256,-0.02153552127851426,0.004735603728072069
13,0.65,-0.017185346013251168,-0.016699532835599166,-0.00048581317765200235,-0.01669953283559917,-0.0004858131776519989,-0.02177667953058243,0.004591333517331261
14,0.7000000000000001,-0.017542901131025523,-0.017059614222064028,-0.0004832869089614958,-0.017059614222064028,-0.0004832869089614958,-0.021947937246043298,0.004405036115017774
15,0.75,-0.01787886734823607,-0.017397339611170567,-0.0004815277370655048,-0.017397339611170567,-0.0004815277370655048,-0.022068616181100873,0.0041897488328648015
16,0.8,-0.018188867052209123,-0.01771547950342981,-0.0004733875487793124,-0.017715479503429814,-0.0004733875487793089,-0.02207248672969612,0.003883619677486995
17,0.8500000000000001,-0.01846624588868484,-0.018000471865192016,-0.0004657740234928244,-0.018000471865192016,-0.0004657740234928244,-0.022140025297357323,0.0036737794086724833
18,0.9,-0.018667546118021128,-0.01820770153307857,-0.0004598445849425571,-0.01820770153307857,-0.0004598445849425571,-0.022152802747533302,0.003485256629512174
19,0.9500000000000001,-0.01881703582803318,-0.01835636086763936,-0.0004606749603938212,-0.01835636086763936,-0.0004606749603938212,-0.02208912143035413,0.003272085602320951
20,1.0,-0.01894727400291707,-0.01848808143541518,-0.00045919256750188986,-0.01848808143541518,-0.00045919256750188986,-0.022002137564318975,0.0030548635614019055
21,1.05,-0.019068085667873658,-0.018611977176579128,-0.00045610849129452957,-0.018611977176579128,-0.00045610849129452957,-0.021898929733840836,0.0028308440659671787
22,1.1,-0.019121858292617033,-0.01866579309441592,-0.0004560651982011138,-0.01866579309441592,-0.0004560651982011138,-0.021756918392180444,0.002635060099563411
23,1.1500000000000001,-0.01912918046316403,-0.01870223694133849,-0.0004269435218255402,-0.01870223694133849,-0.0004269435218255402,-0.02154987270228751,0.00242069223912348
24,1.2000000000000002,-0.019085078667150035,-0.018677777675960322,-0.00040730099118971297,-0.01867777767596033,-0.00040730099118970603,-0.02124953253114952,0.0021644538639994867
25,1.25,-0.018942142367494252,-0.018554310055209203,-0.00038783231228504966,-0.018554310055209203,-0.00038783231228504966,-0.020788370811572757,0.001846228444078505
26,1.3,-0.01875074435401758,-0.01837992466503867,-0.00037081968897891004,-0.01837992466503867,-0.00037081968897891004,-0.02032440930245129,0.0015736649484337124
27,1.35,-0.018559418880341738,-0.01819115360429825,-0.0003682652760434897,-0.01819115360429825,-0.0003682652760434897,-0.019890977014880438,0.0013315581345386997
28,1.4000000000000001,-0.018287073357456496,-0.01798101197297239,-0.0003060613844841076,-0.01798101197297239,-0.0003060613844841076,-0.019378485409788187,0.001091412052331691
29,1.4500000000000002,-0.01802099852692074,-0.017706617925537425,-0.0003143806013833142,-0.017706617925537425,-0.0003143806013833142,-0.018870869555371185,0.0008498710284504454
30,1.5,-0.01753345705521714,-0.017190582886950304,-0.00034287416826683445,-0.017415340174509387,-0.00011811688070775123,-0.01837400498596686,0.0008405479307497209
31,1.55,-0.01693264806415773,-0.01666498127014629,-0.00026766679401143967,-0.017061885351984475,0.00012923728782674587,-0.017872628833960166,0.0009399807698024371
32,1.6,-0.016469766669983232,-0.01620159570843604,-0.0002681709615471907,-0.016712304241119736,0.00024253757113650368,-0.01730884840758965,0.0008390817376064189
33,1.6500000000000001,-0.016010852484690474,-0.015729200861230426,-0.0002816516234600483,-0.01633250337822234,0.00032165089353186627,-0.016846220608511302,0.0008353681238208281
34,1.7000000000000002,-0.015487359418751567,-0.015211776363673529,-0.00027558305507803874,-0.015887152363675702,0.000399792944924135,-0.016325859676230917,0.0008385002574793493
35,1.75,-0.01493004351562277,-0.014697137838570762,-0.00023290567705200847,-0.0154225725537679,0.0004925290381451296,-0.015731363265803152,0.0008013197501803813
36,1.8,-0.014430114208434763,-0.01423534749002497,-0.0001947667184097942,-0.01498073748158105,0.0005506232731462869,-0.015227984203287873,0.0007978699948531093
37,1.85,-0.013918392205459318,-0.01370605728019901,-0.0002123349252603074,-0.014466791754059571,0.0005483995486002535,-0.01464325578821562,0.0007248635827563025
38,1.9000000000000001,-0.013491195913738152,-0.013273769934033963,-0.00021742597970418956,-0.014046972842143877,0.0005557769284057247,-0.014175568274457187,0.0006843723607190353
39,1.9500000000000002,-0.012946910531634548,-0.01275789422782728,-0.00018901630380726772,-0.013540190578673374,0.0005932800470388258,-0.013588370904064931,0.0006414603724303834
40,2.0,-0.012373512838836809,-0.012205461943296976,-0.0001680508955398327,-0.01303372762313893,0.0006602147843021208,-0.013043739796239755,0.0006702269574029463
