frame,time,delta_H,rhs_u_command,slack_u_command,rhs_u_saturated,slack_u_saturated,rhs_u_cvt,slack_u_cvt
0,0.0,-0.009180444256907228,-0.008744929694285745,-0.0004355145626214821,-0.008744929694285745,-0.0004355145626214821,-0.01320786641095801,0.004027422154050782
1,0.05,-0.009792270055666075,-0.009346906656040228,-0.000445363399625847,-0.009346906656040228,-0.000445363399625847,-0.01401087140887444,0.004218601353208366
2,0.1,-0.010404621477826836,-0.009947278097461378,-0.00045734338036545856,-0.009947278097461378,-0.00045734338036545856,-0.014813370362336221,0.004408748884509385
3,0.15000000000000002,-0.011013754249068142,-0.010545801204700337,-0.0004679530443678047,-0.010545801204700337,-0.0004679530443678047,-0.015597111004924237,0.004583356755856095
4,0.2,-0.011618361644516906,-0.01113969928128684,-0.0004786623632300653,-0.01113969928128684,-0.0004786623632300653,-0.01634227176930716,0.004723910124790256
5,0.25,-0.012218036542279154,-0.011732521430895123,-0.00048551511138403107,-0.011732521430895123,-0.00048551511138403107,-0.017087909040792253,0.0048698724985131
6,0.30000000000000004,-0.012804889360659155,-0.01231814378440271,-0.00048674557625644557,-0.01231814378440271,-0.00048674557625644557,-0.017782584493415955,0.004977695132756799
7,0.35000000000000003,-0.013376473181220483,-0.012888348669322683,-0.0004881245118977997,-0.012888348669322685,-0.00048812451189779796,-0.01843966064768542,0.005063187466464936
8,0.4,-0.013929907756612625,-0.01343874648362358,-0.0004911612729890449,-0.013438746483623584,-0.0004911612729890415,-0.019051730756672033,0.005121823000059408
9,0.45,-0.01446374176777887,-0.013970681108441687,-0.0004930606593371838,-0.013970681108441687,-0.0004930606593371838,-0.019617547842336186,0.0051538060745573155
10,0.5,-0.01497406580154359,-0.014481604332341656,-0.0004924614692019338,-0.014481604332341656,-0.0004924614692019338,-0.020129986750853986,0.0051559209493103955
11,0.55,-0.01545451941252296,-0.014968381645121941,-0.0004861377674010188,-0.014968381645121941,-0.0004861377674010188,-0.020553553106346885,0.005099033693823925
12,0.6000000000000001,-0.015905495163545003,-0.015421085689299889,-0.00048440947424511355,-0.015421085689299889,-0.00048440947424511355,-0.020931557375028467,0.005026062211483464
13,0.65,-0.016326308626826047,-0.01584617286005364,-0.0004801357667724056,-0.01584617286005364,-0.0004801357667724056,-0.021259779695315097,0.0049334710684890495
14,0.7000000000000001,-0.016712129154341726,-0.016237099208583187,-0.00047502994575853927,-0.01623709920858319,-0.0004750299457585358,-0.021471031598077506,0.00475890244373578
15,0.75,-0.017063425959201406,-0.016598526935815434,-0.0004648990233859715,-0.016598526935815434,-0.0004648990233859715,-0.02170066075038931,0.004637234791187904
16,0.8,-0.01737532830072963,-0.016922148886490535,-0.0004531794142390959,-0.016922148886490535,-0.0004531794142390959,-0.021879555641579777,0.004504227340850146
17,0.8500000000000001,-0.01764780099289509,-0.017203716882040983,-0.000444084110854108,-0.017203716882040983,-0.000444084110854108,-0.022004056853651054,0.004356255860755963
18,0.9,-0.017880554055497266,-0.017446840890344293,-0.0004337131651529734,-0.017446840890344293,-0.0004337131651529734,-0.022010973722280485,0.004130419666783219
19,0.9500000000000001,-0.018052567676965725,-0.017634550827120794,-0.00041801684984493076,-0.017634550827120794,-0.00041801684984493076,-0.021946909849251052,0.003894342172285327
20,1.0,-0.018131646991374817,-0.01772907471124776,-0.0004025722801270573,-0.01772907471124776,-0.0004025722801270573,-0.021789430311645094,0.003657783320270277
21,1.05,-0.01813364380948501,-0.01774922271845027,-0.0003844210910347416,-0.01774922271845027,-0.0003844210910347416,-0.02156569175028032,0.003432047940795307
22,1.1,-0.018066633885050143,-0.017698441795349268,-0.000368192089700875,-0.017698441795349268,-0.000368192089700875,-0.021317940321722295,0.0032513064366721522
23,1.1500000000000001,-0.01786543259839024,-0.017518021697526243,-0.00034741090086399737,-0.017518021697526243,-0.00034741090086399737,-0.02097635712675571,0.0031109245283654705
24,1.2000000000000002,-0.017616667722253565,-0.017291474643540427,-0.0003251930787131381,-0.017291474643540427,-0.0003251930787131381,-0.0205520936663463,0.0029354259440927365
25,1.25,-0.017359820689014205,-0.01705771819033378,-0.00030210249868042535,-0.017057718190333783,-0.0003021024986804219,-0.020064897459980996,0.002705076770966791
26,1.3,-0.01709681748767411,-0.01681385168900978,-0.0002829657986643287,-0.01681385168900978,-0.0002829657986643287,-0.019578554214069576,0.0024817367263954664
27,1.35,-0.016681840217328103,-0.016420759198734796,-0.00026108101859330726,-0.016420759198734796,-0.00026108101859330726,-0.019002878606885727,0.0023210383895576232
28,1.4000000000000001,-0.016295628307810506,-0.016058877837656256,-0.00023675047015424971,-0.01605887783765626,-0.00023675047015424625,-0.018401522122430788,0.002105893814620282
29,1.4500000000000002,-0.015862087711354445,-0.015644463585027652,-0.00021762412632679237,-0.015644463585027652,-0.00021762412632679237,-0.017747694948924152,0.001885607237569708
30,1.5,-0.015405794910944404,-0.015209944762661227,-0.00019585014828317655,-0.015209944762661232,-0.00019585014828317135,-0.01708768646490801,0.0016818915539636055
31,1.55,-0.01493135517596822,-0.014749887943175739,-0.00018146723279248086,-0.014749887943175739,-0.00018146723279248086,-0.01641223547468552,0.0014808802987173013
32,1.6,-0.014425810518384763,-0.014265147222272167,-0.00016066329611259637,-0.014265147222272167,-0.00016066329611259637,-0.01569591583494522,0.0012701053165604555
33,1.6500000000000001,-0.013933579753237835,-0.013793244062969508,-0.00014033569026832698,-0.01379324406296951,-0.00014033569026832525,-0.014980090396160436,0.001046510642922601
34,1.7000000000000002,-0.013362375785698544,-0.013240249812436917,-0.0001221259732616265,-0.013240249812436917,-0.0001221259732616265,-0.014208746282999786,0.0008463704973012427
35,1.75,-0.012744837184211932,-0.01264518975089398,-9.964743331795228e-05,-0.01264518975089398,-9.964743331795228e-05,-0.013418293459678028,0.0006734562754660955
36,1.8,-0.012135763150111778,-0.012059428049030414,-7.633510108136406e-05,-0.012059428049030414,-7.633510108136406e-05,-0.012575561291616846,0.000439798141505068
37,1.85,-0.011509482278206584,-0.011436434356007432,-7.304792219915181e-05,-0.011436434356007432,-7.304792219915181e-05,-0.011821050651274815,0.00031156837306823074
38,1.9000000000000001,-0.010819700961114287,-0.01076671532662208,-5.298563449220722e-05,-0.01076671532662208,-5.298563449220722e-05,-0.010993938831013208,0.00017423786989892096
39,1.9500000000000002,-0.010058299690910766,-0.010015941777637734,-4.2357913273031664e-05,-0.010015941777637734,-4.2357913273031664e-05,-0.010161686246807545,0.00010338655589677871
40,2.0,-0.009379124235804004,-0.009332114586066668,-4.700964973733575e-05,-0.009332114586066668,-4.700964973733575e-05,-0.009408104138768452,2.8979902964448162e-05
41,2.0500000000000003,-0.008740701566633091,-0.008691909618560135,-4.8791948072956365e-05,-0.008691909618560135,-4.8791948072956365e-05,-0.0087209397909563,-1.976177567679198e-05
42,2.1,-0.008024696347412985,-0.00799232583995508,-3.237050745790587e-05,-0.00799232583995508,-3.237050745790587e-05,-0.00799232583995508,-3.237050745790587e-05
43,2.15,-0.007389754143360072,-0.007368165750312281,-2.158839304779083e-05,-0.007368165750312281,-2.158839304779083e-05,-0.007368165750312281,-2.158839304779083e-05
44,2.2,-0.0068194476228382594,-0.006787113918080771,-3.233370475748832e-05,-0.006787113918080771,-3.233370475748832e-05,-0.006787113918080771,-3.233370475748832e-05
45,2.25,-0.0062942107420633775,-0.0062731152886949925,-2.109545336838499e-05,-0.0062731152886949925,-2.109545336838499e-05,-0.0062731152886949925,-2.109545336838499e-05
46,2.3000000000000003,-0.005836765292673185,-0.005813822585424864,-2.2942707248321294e-05,-0.005813822585424864,-2.2942707248321294e-05,-0.005813822585424864,-2.2942707248321294e-05
47,2.35,-0.005382695631889645,-0.005361272155896639,-2.1423475993005876e-05,-0.00536588724091472,-1.680839097492441e-05,-0.00536588724091472,-1.680839097492441e-05
48,2.4000000000000004,-0.004905560269627407,-0.0049017500080266166,-3.8102616007904336e-06,-0.004909873940157546,4.313670530138938e-06,-0.004909873940157546,4.313670530138938e-06
49,2.45,-0.004520647428506774,-0.00450589743943089,-1.4749989075884228e-05,-0.004513870422298171,-6.777006208603421e-06,-0.004513870422298171,-6.777006208603421e-06
50,2.5,-0.004118181029275969,-0.004093509347547655,-2.4671681728313972e-05,-0.004101445108749909,-1.6735920526060252e-05,-0.004101445108749909,-1.6735920526060252e-05
51,2.5500000000000003,-0.003840131151090831,-0.003810407038422965,-2.9724112667865992e-05,-0.003817860108837636,-2.227104225319479e-05,-0.003817860108837636,-2.227104225319479e-05
52,2.6,-0.003583425858418088,-0.0035446839954233326,-3.874186299475521e-05,-0.003551076234424813,-3.234962399327468e-05,-0.003551076234424813,-3.234962399327468e-05
53,2.6500000000000004,-0.0032768365692060764,-0.0032811446618325447,4.308092626468304e-06,-0.003285997626203619,9.161056997542688e-06,-0.003285997626203619,9.161056997542688e-06
54,2.7,-0.0030334412082213547,-0.003037714592191543,4.273383970188494e-06,-0.0030413641936336364,7.922985412281772e-06,-0.0030413641936336364,7.922985412281772e-06
55,2.75,-0.0028072061770709755,-0.0028116130167037865,4.4068396328109626e-06,-0.002814272040136135,7.06586306515938e-06,-0.002814272040136135,7.06586306515938e-06
56,2.8000000000000003,-0.0026222744897085315,-0.002616331269654979,-5.943220053552644e-06,-0.0026183874103454263,-3.887079363105225e-06,-0.0026183874103454263,-3.887079363105225e-06
57,2.85,-0.002445080642243025,-0.002428523512771935,-1.6557129471090042e-05,-0.0024300986553471736,-1.4981986895851347e-05,-0.0024300986553471736,-1.4981986895851347e-05
58,2.9000000000000004,-0.0022476868828075203,-0.0022415622061500236,-6.124676657496674e-06,-0.002242737230059902,-4.949652747618296e-06,-0.002242737230059902,-4.949652747618296e-06
59,2.95,-0.002097553266260932,-0.002086129327305139,-1.142393895579288e-05,-0.0020869607106876096,-1.0592555573322397e-05,-0.0020869607106876096,-1.0592555573322397e-05
60,3.0,-0.0019177214684492627,-0.0018973004583820497,-2.0421010067212973e-05,-0.0018977696226924897,-1.9951845756773032e-05,-0.0018977696226924897,-1.9951845756773032e-05
61,3.0500000000000003,-0.0017359511732021327,-0.0017204427169108078,-1.5508456291324834e-05,-0.0017207080211776404,-1.5243152024492241e-05,-0.0017207080211776404,-1.5243152024492241e-05
62,3.1,-0.001578360961526304,-0.0015752303397455476,-3.1306217807562826e-06,-0.0015753001251177848,-3.0608364085190926e-06,-0.0015753001251177848,-3.0608364085190926e-06
63,3.1500000000000004,-0.0014828976180008002,-0.0014733512052516136,-9.546412749186642e-06,-0.0014733512379074348,-9.546380093365453e-06,-0.0014733512379074348,-9.546380093365453e-06
64,3.2,-0.0013603164743697382,-0.0013678481574617809,7.53168309204264e-06,-0.0013678411562595405,7.524681889802291e-06,-0.0013678411562595405,7.524681889802291e-06
65,3.25,-0.001277892834705363,-0.0012815503097618685,3.6574750565054274e-06,-0.0012815503097618685,3.6574750565054274e-06,-0.0012815503097618685,3.6574750565054274e-06
66,3.3000000000000003,-0.0011947834281134107,-0.0011913757897963786,-3.4076383170320197e-06,-0.0011913757897963786,-3.4076383170320197e-06,-0.0011913757897963786,-3.4076383170320197e-06
67,3.35,-0.0011293092679076633,-0.0011205686038507762,-8.74066405688709e-06,-0.0011205686038507762,-8.74066405688709e-06,-0.0011205686038507762,-8.74066405688709e-06
68,3.4000000000000004,-0.0010678248361039033,-0.001053637148153626,-1.4187687950277398e-05,-0.001053637148153626,-1.4187687950277398e-05,-0.001053637148153626,-1.4187687950277398e-05
69,3.45,-0.0010014297619649337,-0.0009844705541011015,-1.695920786383225e-05,-0.0009844705541011015,-1.695920786383225e-05,-0.0009844705541011015,-1.695920786383225e-05
70,3.5,-0.0009458335438830012,-0.0009280772460215891,-1.775629786141214e-05,-0.0009280772460215891,-1.775629786141214e-05,-0.0009280772460215891,-1.775629786141214e-05
71,3.5500000000000003,-0.0008758569954921969,-0.0008732021197480302,-2.6548757441666833e-06,-0.0008732021197480302,-2.6548757441666833e-06,-0.0008732021197480302,-2.6548757441666833e-06
72,3.6,-0.0008151330024865899,-0.0008205529037392255,5.4199012526355604e-06,-0.0008205529037392255,5.4199012526355604e-06,-0.0008205529037392255,5.4199012526355604e-06
73,3.6500000000000004,-0.0007595415688042007,-0.00076764605132591,8.104482521709318e-06,-0.00076764605132591,8.104482521709318e-06,-0.00076764605132591,8.104482521709318e-06
74,3.7,-0.0007226322885518499,-0.0007224868967995626,-1.4539175228730009e-07,-0.0007224868967995626,-1.4539175228730009e-07,-0.0007224868967995626,-1.4539175228730009e-07
75,3.75,-0.0006867661532150571,-0.0006815551210497536,-5.21103216530349e-06,-0.0006815551210497536,-5.21103216530349e-06,-0.0006815551210497536,-5.21103216530349e-06
76,3.8000000000000003,-0.000651999876749465,-0.0006426703775430903,-9.329499206374675e-06,-0.0006426703775430903,-9.329499206374675e-06,-0.0006426703775430903,-9.329499206374675e-06
77,3.85,-0.0006197913722022497,-0.0006075621294199235,-1.2229242782326138e-05,-0.0006075621294199235,-1.2229242782326138e-05,-0.0006075621294199235,-1.2229242782326138e-05
78,3.9000000000000004,-0.0005775146746346271,-0.0005739459233714696,-3.568751263157495e-06,-0.0005739459233714696,-3.568751263157495e-06,-0.0005739459233714696,-3.568751263157495e-06
79,3.95,-0.0005476180445281864,-0.0005429843004725517,-4.633744055634686e-06,-0.0005429843004725517,-4.633744055634686e-06,-0.0005429843004725517,-4.633744055634686e-06
80,4.0,-0.0005263665878511015,-0.0005149385761732619,-1.1428011677839535e-05,-0.0005149385761732619,-1.1428011677839535e-05,-0.0005149385761732619,-1.1428011677839535e-05
81,4.05,-0.0004973781912825936,-0.0004888147414571571,-8.563449825436508e-06,-0.0004888147414571571,-8.563449825436508e-06,-0.0004888147414571571,-8.563449825436508e-06
82,4.1000000000000005,-0.0004667429456455263,-0.0004664292262047703,-3.137194407560424e-07,-0.0004664292262047703,-3.137194407560424e-07,-0.0004664292262047703,-3.137194407560424e-07
83,4.15,-0.00040499841652708035,-0.0004012580375370755,-3.740378990004867e-06,-0.0004012580375370755,-3.740378990004867e-06,-0.0004012580375370755,-3.740378990004867e-06
84,4.2,-0.0003732486078446007,-0.00036848961008071517,-4.758997763885508e-06,-0.00036848961008071517,-4.758997763885508e-06,-0.00036848961008071517,-4.758997763885508e-06
85,4.25,-0.0003562546198865313,-0.00034982412840841947,-6.4304914781118205e-06,-0.00034982412840841947,-6.4304914781118205e-06,-0.00034982412840841947,-6.4304914781118205e-06
86,4.3,-0.00034624500208069175,-0.0003384482548551237,-7.79674722556806e-06,-0.0003384482548551237,-7.79674722556806e-06,-0.0003384482548551237,-7.79674722556806e-06
87,4.3500000000000005,-0.0003279485772887947,-0.000323301844097944,-4.646733190850666e-06,-0.000323301844097944,-4.646733190850666e-06,-0.000323301844097944,-4.646733190850666e-06
88,4.4,-0.0003183974277815027,-0.000312697295720366,-5.700132061136687e-06,-0.000312697295720366,-5.700132061136687e-06,-0.000312697295720366,-5.700132061136687e-06
89,4.45,-0.0003034287156287174,-0.0002977464608867536,-5.682254741963815e-06,-0.0002977464608867536,-5.682254741963815e-06,-0.0002977464608867536,-5.682254741963815e-06
90,4.5,-0.0002948049166370259,-0.00028778384050683384,-7.021076130192061e-06,-0.00028778384050683384,-7.021076130192061e-06,-0.00028778384050683384,-7.021076130192061e-06
91,4.55,-0.00027955511054689186,-0.0002706090657695401,-8.946044777351767e-06,-0.0002706090657695401,-8.946044777351767e-06,-0.0002706090657695401,-8.946044777351767e-06
92,4.6000000000000005,-0.0002559889029498663,-0.0002517006263949177,-4.288276554948616e-06,-0.0002517006263949177,-4.288276554948616e-06,-0.0002517006263949177,-4.288276554948616e-06
93,4.65,-0.00024213117428206754,-0.00024236852851028336,2.3735422821581555e-07,-0.00024236852851028336,2.3735422821581555e-07,-0.00024236852851028336,2.3735422821581555e-07
94,4.7,-0.0002339699740029344,-0.00023502889733322812,1.058923330293722e-06,-0.00023502889733322812,1.058923330293722e-06,-0.00023502889733322812,1.058923330293722e-06
95,4.75,-0.0002304154992494034,-0.00023134713532409995,9.316360746965439e-07,-0.00023134713532409995,9.316360746965439e-07,-0.00023134713532409995,9.316360746965439e-07
96,4.800000000000001,-0.00022654743700223356,-0.00022243275767671778,-4.114679325515784e-06,-0.00022243275767671778,-4.114679325515784e-06,-0.00022243275767671778,-4.114679325515784e-06
97,4.8500000000000005,-0.00022714222805553241,-0.00021600264902962136,-1.1139579025911056e-05,-0.00021600264902962136,-1.1139579025911056e-05,-0.00021600264902962136,-1.1139579025911056e-05
98,4.9,-0.00021237058938217146,-0.00020639296809718804,-5.977621284983421e-06,-0.00020639296809718804,-5.977621284983421e-06,-0.00020639296809718804,-5.977621284983421e-06
99,4.95,-0.00020151932852496834,-0.00019565452862855648,-5.864799896411867e-06,-0.00019565452862855648,-5.864799896411867e-06,-0.00019565452862855648,-5.864799896411867e-06
100,5.0,-0.0001987764418318605,-0.00019371861500374818,-5.057826828112314e-06,-0.00019371861500374818,-5.057826828112314e-06,-0.00019371861500374818,-5.057826828112314e-06
101,5.050000000000001,-0.0001935343724595029,-0.00018930375076381612,-4.230621695686771e-06,-0.00018930375076381612,-4.230621695686771e-06,-0.00018930375076381612,-4.230621695686771e-06
102,5.1000000000000005,-0.00019345713399943065,-0.0001855142955976904,-7.942838401740244e-06,-0.0001855142955976904,-7.942838401740244e-06,-0.0001855142955976904,-7.942838401740244e-06
103,5.15,-0.0001942174966318433,-0.00018383181008539663,-1.0385686546446663e-05,-0.00018383181008539663,-1.0385686546446663e-05,-0.00018383181008539663,-1.0385686546446663e-05
104,5.2,-0.00018020219273318094,-0.00018262019159595106,2.417998862770112e-06,-0.00018262019159595106,2.417998862770112e-06,-0.00018262019159595106,2.417998862770112e-06
105,5.25,-0.00018253085925301615,-0.00017956493608023094,-2.9659231727852153e-06,-0.00017956493608023094,-2.9659231727852153e-06,-0.00017956493608023094,-2.9659231727852153e-06
106,5.300000000000001,-0.00017524796769063933,-0.00017939611368958462,4.148145998945289e-06,-0.00017939611368958462,4.148145998945289e-06,-0.00017939611368958462,4.148145998945289e-06
107,5.3500000000000005,-0.0001829891811262474,-0.00017917000365925837,-3.819177466989033e-06,-0.00017917000365925837,-3.819177466989033e-06,-0.00017917000365925837,-3.819177466989033e-06
108,5.4,-0.0001874215110970745,-0.00017768588321611991,-9.735627880954587e-06,-0.00017768588321611991,-9.735627880954587e-06,-0.00017768588321611991,-9.735627880954587e-06
109,5.45,-0.00017927624932534414,-0.00017749447470815326,-1.7817746171908816e-06,-0.00017749447470815326,-1.7817746171908816e-06,-0.00017749447470815326,-1.7817746171908816e-06
110,5.5,-0.0001836834629898032,-0.00017733834635473117,-6.3451166350720375e-06,-0.00017733834635473117,-6.3451166350720375e-06,-0.00017733834635473117,-6.3451166350720375e-06
111,5.550000000000001,-0.00017140555180339412,-0.0001700656575798485,-1.3398942235456294e-06,-0.0001700656575798485,-1.3398942235456294e-06,-0.0001700656575798485,-1.3398942235456294e-06
112,5.6000000000000005,-0.0001789385317736425,-0.00016962213180182122,-9.316399971821278e-06,-0.00016962213180182122,-9.316399971821278e-06,-0.00016962213180182122,-9.316399971821278e-06
113,5.65,-0.0001772790903216137,-0.00016929337636070263,-7.985713960911075e-06,-0.00016929337636070263,-7.985713960911075e-06,-0.00016929337636070263,-7.985713960911075e-06
114,5.7,-0.00017746491670456166,-0.0001689549905614134,-8.509926143148252e-06,-0.0001689549905614134,-8.509926143148252e-06,-0.0001689549905614134,-8.509926143148252e-06
115,5.75,-0.00017412289434015626,-0.00016956731169165358,-4.555582648502687e-06,-0.00016956731169165358,-4.555582648502687e-06,-0.00016956731169165358,-4.555582648502687e-06
116,5.800000000000001,-0.0001679658841982068,-0.00016473242543466163,-3.2334587635451657e-06,-0.00016473242543466163,-3.2334587635451657e-06,-0.00016473242543466163,-3.2334587635451657e-06
117,5.8500000000000005,-0.00016660494456377517,-0.00015711279044029904,-9.49215412347613e-06,-0.00015711279044029904,-9.49215412347613e-06,-0.00015711279044029904,-9.49215412347613e-06
118,5.9,-0.000149832110557635,-0.00015198833002532533,2.156219467690316e-06,-0.00015198833002532533,2.156219467690316e-06,-0.00015198833002532533,2.156219467690316e-06
119,5.95,-0.000155310345691273,-0.00015063399431808794,-4.676351373185058e-06,-0.00015063399431808794,-4.676351373185058e-06,-0.00015063399431808794,-4.676351373185058e-06
120,6.0,-0.0001418923932163807,-0.000147429210536536,5.53681732015529e-06,-0.000147429210536536,5.53681732015529e-06,-0.000147429210536536,5.53681732015529e-06
121,6.050000000000001,-0.0001449608123990087,-0.00014541813314644019,4.5732074743147586e-07,-0.00014541813314644019,4.5732074743147586e-07,-0.00014541813314644019,4.5732074743147586e-07
122,6.1000000000000005,-0.0001510770463809541,-0.0001447583026742332,-6.3187437067208844e-06,-0.0001447583026742332,-6.3187437067208844e-06,-0.0001447583026742332,-6.3187437067208844e-06
123,6.15,-0.0001462211318772333,-0.00014435747594100846,-1.8636559362248295e-06,-0.00014435747594100846,-1.8636559362248295e-06,-0.00014435747594100846,-1.8636559362248295e-06
124,6.2,-0.0001464441318603793,-0.0001436377982312957,-2.8063336290835882e-06,-0.0001436377982312957,-2.8063336290835882e-06,-0.0001436377982312957,-2.8063336290835882e-06
125,6.25,-0.0001377735706116212,-0.00014488851977274213,7.114949161120916e-06,-0.00014488851977274213,7.114949161120916e-06,-0.00014488851977274213,7.114949161120916e-06
126,6.300000000000001,-0.00014493646111657377,-0.00014373192989312165,-1.2045312234521194e-06,-0.00014373192989312165,-1.2045312234521194e-06,-0.00014373192989312165,-1.2045312234521194e-06
127,6.3500000000000005,-0.00015555294773328399,-0.0001457654859575702,-9.787461775713783e-06,-0.0001457654859575702,-9.787461775713783e-06,-0.0001457654859575702,-9.787461775713783e-06
128,6.4,-0.00014425940627105227,-0.00014280202385408828,-1.4573824169639908e-06,-0.00014280202385408828,-1.4573824169639908e-06,-0.00014280202385408828,-1.4573824169639908e-06
