iteration,time,cargo_id,strict_coverage,legacy_coverage,min_signed_clearance,max_penetration,agents_inside,contacts,net_force_x,net_force_y,net_torque
0,0.0000,cargo_0,0.037500,0.037500,0.337762,0.000000,0,0,0.000000,0.000000,0.000000
1,0.0500,cargo_0,0.050000,0.050000,0.321032,0.000000,0,0,0.000000,0.000000,0.000000
2,0.1000,cargo_0,0.050000,0.050000,0.304197,0.000000,0,0,0.000000,0.000000,0.000000
3,0.1500,cargo_0,0.056250,0.056250,0.287890,0.000000,0,0,0.000000,0.000000,0.000000
4,0.2000,cargo_0,0.062500,0.062500,0.272884,0.000000,0,0,0.000000,0.000000,0.000000
5,0.2500,cargo_0,0.068750,0.068750,0.258521,0.000000,0,0,0.000000,0.000000,0.000000
6,0.3000,cargo_0,0.068750,0.068750,0.244521,0.000000,0,0,0.000000,0.000000,0.000000
7,0.3500,cargo_0,0.075000,0.075000,0.230895,0.000000,0,0,0.000000,0.000000,0.000000
8,0.4000,cargo_0,0.081250,0.081250,0.217500,0.000000,0,0,0.000000,0.000000,0.000000
9,0.4500,cargo_0,0.081250,0.081250,0.204388,0.000000,0,0,0.000000,0.000000,0.000000
10,0.5000,cargo_0,0.087500,0.087500,0.191565,0.000000,0,0,0.000000,0.000000,0.000000
11,0.5500,cargo_0,0.087500,0.087500,0.179416,0.000000,0,0,0.000000,0.000000,0.000000
12,0.6000,cargo_0,0.087500,0.087500,0.167907,0.000000,0,0,0.000000,0.000000,0.000000
13,0.6500,cargo_0,0.118750,0.118750,0.156145,0.000000,0,0,0.000000,0.000000,0.000000
14,0.7000,cargo_0,0.143750,0.143750,0.144794,0.000000,0,0,0.000000,0.000000,0.000000
15,0.7500,cargo_0,0.162500,0.162500,0.135626,0.000000,0,0,0.000000,0.000000,0.000000
16,0.8000,cargo_0,0.168750,0.168750,0.124701,0.005299,0,1,-5.271841,2.124004,-1.205069
17,0.8500,cargo_0,0.181250,0.181250,0.114146,0.015854,0,1,-10.459899,1.200751,-5.741067
18,0.9000,cargo_0,0.200000,0.200000,0.104559,0.025441,0,1,-15.021086,1.440062,-8.543549
19,0.9500,cargo_0,0.206250,0.206250,0.096581,0.033419,0,1,-18.624666,0.836207,-11.638836
20,1.0000,cargo_0,0.218750,0.218750,0.090336,0.039664,0,1,-21.330832,0.792422,-13.500195
21,1.0500,cargo_0,0.218750,0.218750,0.084177,0.045823,0,1,-24.445512,-0.249841,-16.767879
22,1.1000,cargo_0,0.256250,0.256250,0.079981,0.050019,0,1,-26.831567,0.285346,-17.774158
23,1.1500,cargo_0,0.287500,0.287500,0.078279,0.051721,0,1,-28.092194,0.919091,-17.899768
24,1.2000,cargo_0,0.306250,0.306250,0.079459,0.050541,0,1,-27.630353,0.209112,-18.379280
25,1.2500,cargo_0,0.325000,0.325000,0.082534,0.047466,0,1,-25.671871,-0.391474,-17.743123
26,1.3000,cargo_0,0.350000,0.350000,0.084862,0.045138,0,1,-24.430634,0.225030,-16.215878
27,1.3500,cargo_0,0.362500,0.362500,0.086074,0.043926,0,1,-23.688335,-0.147461,-16.133802
28,1.4000,cargo_0,0.368750,0.368750,0.087244,0.042756,0,1,-22.570238,-2.722236,-18.301311
29,1.4500,cargo_0,0.375000,0.375000,0.084549,0.045451,0,1,-24.734267,-0.722381,-17.554506
30,1.5000,cargo_0,0.393750,0.393750,0.088275,0.041725,0,1,-20.026977,1.701811,-11.638972
31,1.5500,cargo_0,0.400000,0.400000,0.097952,0.032048,0,1,-13.704438,-2.011875,-11.527427
32,1.6000,cargo_0,0.425000,0.425000,0.091443,0.038557,0,1,-20.842437,-1.100056,-15.367652
33,1.6500,cargo_0,0.437500,0.437500,0.086128,0.043872,0,1,-23.236389,-1.398563,-17.352311
34,1.7000,cargo_0,0.456250,0.456250,0.096094,0.033906,0,1,-14.554357,-1.585757,-11.679869
35,1.7500,cargo_0,0.475000,0.475000,0.097373,0.032627,0,1,-16.011492,-3.390332,-14.728453
36,1.8000,cargo_0,0.475000,0.475000,0.093641,0.036359,0,1,-19.080090,-3.511202,-17.018158
37,1.8500,cargo_0,0.493750,0.493750,0.089546,0.040454,0,1,-21.543611,-3.427993,-18.679751
38,1.9000,cargo_0,0.506250,0.506250,0.086723,0.043277,0,2,-15.562486,-3.396057,-13.447615
39,1.9500,cargo_0,0.531250,0.531250,0.087190,0.042810,0,2,-8.612009,-3.499651,-10.201988
40,2.0000,cargo_0,0.543750,0.543750,0.097770,0.032230,0,2,5.295973,-0.160110,3.620385
41,2.0500,cargo_0,0.568750,0.568750,0.086406,0.043594,0,2,4.078824,-1.906424,0.844569
42,2.1000,cargo_0,0.575000,0.575000,0.077724,0.052276,0,2,5.768384,-2.540765,1.152891
43,2.1500,cargo_0,0.600000,0.600000,0.087934,0.042066,0,2,5.416741,-5.095930,3.392248
44,2.2000,cargo_0,0.593750,0.593750,0.078603,0.051397,0,2,19.883729,-0.180149,12.738696
45,2.2500,cargo_0,0.612500,0.612500,0.072815,0.057185,0,2,22.598650,-3.139529,10.160411
46,2.3000,cargo_0,0.612500,0.612500,0.083567,0.046433,0,2,19.836775,2.930783,11.207556
47,2.3500,cargo_0,0.618750,0.618750,0.078176,0.051824,0,1,29.090751,1.298289,19.614854
48,2.4000,cargo_0,0.637500,0.637500,0.089406,0.040594,0,2,11.324409,2.973698,0.458750
49,2.4500,cargo_0,0.643750,0.643750,0.100235,0.029765,0,2,8.079085,2.118274,2.339360
50,2.5000,cargo_0,0.643750,0.643750,0.111093,0.018907,0,2,2.227040,1.512547,-0.684536
51,2.5500,cargo_0,0.656250,0.656250,0.120388,0.009612,0,2,-4.057139,-0.531193,-4.626491
52,2.6000,cargo_0,0.656250,0.656250,0.130076,0.000000,0,0,0.000000,0.000000,0.000000
53,2.6500,cargo_0,0.675000,0.675000,0.132428,0.000000,0,0,0.000000,0.000000,0.000000
54,2.7000,cargo_0,0.693750,0.693750,0.133533,0.000000,0,0,0.000000,0.000000,0.000000
55,2.7500,cargo_0,0.700000,0.700000,0.135442,0.000000,0,0,0.000000,0.000000,0.000000
56,2.8000,cargo_0,0.718750,0.718750,0.128880,0.001120,0,1,2.135516,0.487190,1.148087
57,2.8500,cargo_0,0.718750,0.718750,0.140001,0.000000,0,0,0.000000,0.000000,0.000000
58,2.9000,cargo_0,0.743750,0.743750,0.132335,0.000000,0,0,0.000000,0.000000,0.000000
59,2.9500,cargo_0,0.743750,0.743750,0.134117,0.000000,0,0,0.000000,0.000000,0.000000
60,3.0000,cargo_0,0.750000,0.750000,0.130767,0.000000,0,0,0.000000,0.000000,0.000000
61,3.0500,cargo_0,0.750000,0.750000,0.123324,0.006676,0,1,5.125342,0.689711,3.059618
62,3.1000,cargo_0,0.743750,0.743750,0.133525,0.000000,0,0,0.000000,0.000000,0.000000
63,3.1500,cargo_0,0.750000,0.750000,0.121601,0.008399,0,1,7.062048,0.852107,4.295953
64,3.2000,cargo_0,0.750000,0.750000,0.122323,0.007677,0,1,3.664184,-1.060437,3.262079
65,3.2500,cargo_0,0.756250,0.756250,0.120374,0.009626,0,1,5.280711,0.047352,3.621032
66,3.3000,cargo_0,0.762500,0.762500,0.116791,0.013209,0,1,7.465313,1.121106,4.389485
67,3.3500,cargo_0,0.768750,0.768750,0.120387,0.009613,0,1,3.943409,0.045141,2.693465
68,3.4000,cargo_0,0.781250,0.781250,0.130860,0.000000,0,0,0.000000,0.000000,0.000000
69,3.4500,cargo_0,0.781250,0.781250,0.139908,0.000000,0,0,0.000000,0.000000,0.000000
70,3.5000,cargo_0,0.781250,0.781250,0.142186,0.000000,0,0,0.000000,0.000000,0.000000
71,3.5500,cargo_0,0.781250,0.781250,0.138089,0.000000,0,0,0.000000,0.000000,0.000000
72,3.6000,cargo_0,0.793750,0.793750,0.133902,0.000000,0,0,0.000000,0.000000,0.000000
73,3.6500,cargo_0,0.793750,0.793750,0.129901,0.000099,0,1,1.009339,-0.606745,0.410588
74,3.7000,cargo_0,0.793750,0.793750,0.125542,0.004458,0,1,3.274193,-0.865012,0.578746
75,3.7500,cargo_0,0.787500,0.787500,0.121258,0.008742,0,1,5.397962,-1.129861,0.756337
76,3.8000,cargo_0,0.800000,0.800000,0.116940,0.013060,0,2,5.559046,3.102480,1.050298
77,3.8500,cargo_0,0.806250,0.806250,0.112724,0.017276,0,2,6.266915,9.974386,2.025403
78,3.9000,cargo_0,0.806250,0.806250,0.108070,0.021930,0,2,9.797568,8.335969,2.089513
79,3.9500,cargo_0,0.806250,0.806250,0.103078,0.026922,0,2,13.023346,8.255914,2.532376
80,4.0000,cargo_0,0.806250,0.806250,0.098502,0.031498,0,3,13.639253,8.402079,3.399437
81,4.0500,cargo_0,0.825000,0.825000,0.094322,0.035678,0,3,15.393822,8.196124,5.361144
82,4.1000,cargo_0,0.825000,0.825000,0.090450,0.039550,0,3,15.134119,6.282540,5.591275
83,4.1500,cargo_0,0.831250,0.831250,0.087928,0.042072,0,3,15.456339,6.915853,6.975765
84,4.2000,cargo_0,0.831250,0.831250,0.085444,0.044556,0,3,15.188713,5.428108,7.501897
85,4.2500,cargo_0,0.843750,0.843750,0.084128,0.045872,0,3,15.661788,5.586886,9.191795
86,4.3000,cargo_0,0.850000,0.850000,0.082711,0.047289,0,3,17.286945,6.589245,10.259270
87,4.3500,cargo_0,0.856250,0.856250,0.080510,0.049490,0,3,17.576507,5.847109,11.195771
88,4.4000,cargo_0,0.862500,0.862500,0.079006,0.050994,0,3,17.771346,2.394881,10.583939
89,4.4500,cargo_0,0.862500,0.862500,0.078021,0.051979,0,3,18.084950,4.391508,11.610745
90,4.5000,cargo_0,0.868750,0.868750,0.077162,0.052838,0,3,16.530058,5.394473,11.233058
91,4.5500,cargo_0,0.875000,0.875000,0.075545,0.054455,0,3,15.688746,5.982628,11.111617
92,4.6000,cargo_0,0.875000,0.875000,0.075478,0.054522,0,3,16.159102,5.377204,12.523053
93,4.6500,cargo_0,0.875000,0.875000,0.075349,0.054651,0,3,14.490144,4.485140,13.452005
94,4.7000,cargo_0,0.875000,0.875000,0.074412,0.055588,0,3,14.769446,4.861517,14.192336
95,4.7500,cargo_0,0.893750,0.893750,0.074977,0.055023,0,3,13.349109,5.484717,15.110548
96,4.8000,cargo_0,0.887500,0.887500,0.075110,0.054890,0,3,14.146481,6.149032,15.379434
97,4.8500,cargo_0,0.887500,0.887500,0.075356,0.054644,0,3,12.226361,7.822309,13.955631
98,4.9000,cargo_0,0.887500,0.887500,0.077202,0.052798,0,3,10.655514,7.977758,14.842120
99,4.9500,cargo_0,0.887500,0.887500,0.078869,0.051131,0,3,9.810098,8.228177,13.813261
100,5.0000,cargo_0,0.893750,0.893750,0.079972,0.050028,0,3,8.803144,0.484638,10.895568
