time,kind,id,x,y
0.0000,agent,agent_00,4.413602,2.183725
0.0000,agent,agent_01,2.470614,2.986536
0.0000,agent,agent_02,5.730571,4.392152
0.0000,agent,agent_03,1.705748,3.989566
0.0000,agent,agent_04,5.131431,5.940660
0.0000,agent,agent_05,5.606076,3.369566
0.0000,agent,agent_06,2.042334,3.039616
0.0000,agent,agent_07,3.271882,5.492523
0.0000,agent,agent_08,5.492207,5.083103
0.0000,agent,agent_09,2.370806,3.426168
0.0000,agent,agent_10,4.623748,5.548884
0.0000,agent,agent_11,1.870722,4.662757
0.0000,agent,agent_12,1.872340,3.555325
0.0000,agent,agent_13,5.234604,3.053926
0.0000,agent,agent_14,2.033180,4.993290
0.0000,agent,agent_15,2.214668,2.742320
0.0000,cargo,cargo_0,3.784836,3.806352
0.0500,agent,agent_00,4.409814,2.200810
0.0500,agent,agent_01,2.487304,2.991800
0.0500,agent,agent_02,5.716145,4.382245
0.0500,agent,agent_03,1.723240,3.990096
0.0500,agent,agent_04,5.129529,5.923263
0.0500,agent,agent_05,5.592036,3.380011
0.0500,agent,agent_06,2.059707,3.041723
0.0500,agent,agent_07,3.275779,5.476695
0.0500,agent,agent_08,5.485382,5.066989
0.0500,agent,agent_09,2.386366,3.434177
0.0500,agent,agent_10,4.608505,5.540287
0.0500,agent,agent_11,1.888200,4.661883
0.0500,agent,agent_12,1.889808,3.554267
0.0500,agent,agent_13,5.218671,3.061130
0.0500,agent,agent_14,2.050049,4.988635
0.0500,agent,agent_15,2.225659,2.745159
0.0500,cargo,cargo_0,3.784836,3.806352
0.1000,agent,agent_00,4.405483,2.217766
0.1000,agent,agent_01,2.504060,2.996848
0.1000,agent,agent_02,5.701522,4.372631
0.1000,agent,agent_03,1.740715,3.989155
0.1000,agent,agent_04,5.127703,5.905859
0.1000,agent,agent_05,5.577899,3.390327
0.1000,agent,agent_06,2.077084,3.043796
0.1000,agent,agent_07,3.280491,5.461485
0.1000,agent,agent_08,5.478554,5.050876
0.1000,agent,agent_09,2.402130,3.441775
0.1000,agent,agent_10,4.593179,5.531840
0.1000,agent,agent_11,1.905682,4.662685
0.1000,agent,agent_12,1.907276,3.553209
0.1000,agent,agent_13,5.202441,3.067359
0.1000,agent,agent_14,2.066672,4.983164
0.1000,agent,agent_15,2.237137,2.748457
0.1000,cargo,cargo_0,3.784836,3.806352
0.1500,agent,agent_00,4.401591,2.234827
0.1500,agent,agent_01,2.520716,3.002218
0.1500,agent,agent_02,5.686714,4.363305
0.1500,agent,agent_03,1.758189,3.988214
0.1500,agent,agent_04,5.125877,5.888454
0.1500,agent,agent_05,5.563499,3.400271
0.1500,agent,agent_06,2.094445,3.045992
0.1500,agent,agent_07,3.285169,5.446258
0.1500,agent,agent_08,5.471726,5.034763
0.1500,agent,agent_09,2.417889,3.449386
0.1500,agent,agent_10,4.577935,5.523245
0.1500,agent,agent_11,1.921856,4.656003
0.1500,agent,agent_12,1.924755,3.552353
0.1500,agent,agent_13,5.186668,3.073504
0.1500,agent,agent_14,2.083229,4.977495
0.1500,agent,agent_15,2.248953,2.752229
0.1500,cargo,cargo_0,3.784836,3.806352
0.2000,agent,agent_00,4.397476,2.251837
0.2000,agent,agent_01,2.537266,3.007905
0.2000,agent,agent_02,5.671839,4.354087
0.2000,agent,agent_03,1.775664,3.987274
0.2000,agent,agent_04,5.124051,5.871050
0.2000,agent,agent_05,5.549075,3.410180
0.2000,agent,agent_06,2.111726,3.048756
0.2000,agent,agent_07,3.288891,5.431189
0.2000,agent,agent_08,5.464898,5.018650
0.2000,agent,agent_09,2.433523,3.457249
0.2000,agent,agent_10,4.562497,5.515003
0.2000,agent,agent_11,1.938067,4.649412
0.2000,agent,agent_12,1.942243,3.551704
0.2000,agent,agent_13,5.172178,3.080382
0.2000,agent,agent_14,2.099711,4.971615
0.2000,agent,agent_15,2.261051,2.756463
0.2000,cargo,cargo_0,3.784836,3.806352
0.2500,agent,agent_00,4.392782,2.268695
0.2500,agent,agent_01,2.553763,3.013743
0.2500,agent,agent_02,5.656973,4.344854
0.2500,agent,agent_03,1.793139,3.986333
0.2500,agent,agent_04,5.122225,5.853645
0.2500,agent,agent_05,5.534392,3.419701
0.2500,agent,agent_06,2.129047,3.051252
0.2500,agent,agent_07,3.292727,5.416448
0.2500,agent,agent_08,5.458071,5.002536
0.2500,agent,agent_09,2.449128,3.465170
0.2500,agent,agent_10,4.547406,5.506143
0.2500,agent,agent_11,1.954293,4.642857
0.2500,agent,agent_12,1.959742,3.551902
0.2500,agent,agent_13,5.158201,3.087153
