alpha,seed,diameter_m,target_distance_m,sampler_attempts,goal_angle_deg,success,failure_reasons,J,J_over_diameter,J_over_target,efficiency,direction_error_deg,max_cross_track,max_cross_track_over_diameter,implied_direction_gate_deg,rotation_deg,max_strict_coverage,final_strict_coverage,min_inter_agent_distance,d_min,min_signed_clearance,max_penetration,penetration_budget,barrier_scalings,margin_relaxations,solver_fallbacks,solver_infeasible,solves,first_detection_frame,contact_ready_frame,transport_frame,brake_frame,hold_frame,final_phase,frames_run,terminated_by,settled,completion_time_s,fps
0.2,0,2.5455844122715714,0.5091168824543143,1,213.89921974319353,True,,0.6683637381363744,0.26255807307523343,1.3127903653761672,0.9503275838607844,18.13466663094089,0.21914515786593367,0.08608834843955453,12.969285523024897,-0.004273012156624079,1.0,1.0,0.2804018159072692,0.28,0.07008366037832378,0.05991633962167622,0.10415473839639403,0,0,0,0,3360,0,123,124,138,152,HOLD,210,settled,True,10.5,18.897434068606998
0.2,1,2.5455844122715714,0.5091168824543143,1,67.05487627201978,True,,0.6893237984988853,0.2707919624176839,1.3539598120884193,0.9826182726868915,10.698309957936347,0.13022802522546253,0.05115839985414295,12.568375967186194,0.0,0.9,0.9,0.3071701062567728,0.28,0.09433056888803026,0.03566943111196974,0.10167710954851794,0,0,0,0,2512,0,67,72,103,117,HOLD,157,settled,True,7.8500000000000005,19.992939054238743
0.2,2,2.5455844122715714,0.5091168824543143,1,78.6348106982665,False,"G500: 3 scaled-barrier event(s), smallest factor 0.676; the contract allows 0",0.6067580944275976,0.23835709061643431,1.1917854530821717,0.9964692022945806,4.816171181770496,0.05319274029378322,0.02089608187312723,14.312800228715043,0.0,1.0,1.0,0.28011723030242597,0.28,0.08856130640713289,0.041438693592867115,0.092329341406721,3,0,0,0,5920,0,81,146,183,287,HOLD,370,settled,True,18.5,20.401788522240494
0.2,3,2.5455844122715714,0.5091168824543143,1,30.576349067927193,False,"G500: 28 scaled-barrier event(s), smallest factor 0.211; the contract allows 0",0.67615453622316,0.2656185876074675,1.3280929380373374,0.9989524163399895,2.6228285882131335,0.04485462544221383,0.017620561009873355,12.817291243645233,0.0,0.96875,0.9625,0.2826130913139887,0.28,0.07981947047163196,0.050180529528368045,0.09658602464782512,28,0,0,0,4848,0,77,78,137,162,HOLD,303,settled,True,15.15,21.530248101362453
0.2,4,2.5455844122715714,0.5091168824543143,1,157.4812119101344,True,,0.647242802333647,0.25426098589128104,1.2713049294564052,0.9987507372192603,2.8642422954111386,0.0632319466292307,0.024839854582863825,13.400258214044511,-0.1702820056863433,0.99375,0.99375,0.30857863082900405,0.28,0.07898827272731729,0.051011727272682716,0.09971978932226905,0,0,0,0,3216,0,82,118,146,160,HOLD,201,settled,True,10.05,22.739910038878513
0.2,5,2.5455844122715714,0.5091168824543143,1,96.09942625178446,True,,0.711143237305229,0.27936344749637865,1.396817237481893,0.9990091607575777,2.5507922905697815,0.03869806106328744,0.015202034109234245,12.176739239008162,0.032720162551813245,1.0,1.0,0.28067837550651015,0.28,0.07281541440004416,0.057184585599955845,0.09170737213253731,0,0,0,0,5984,0,73,223,301,334,HOLD,374,settled,True,18.7,21.12942111668418
0.2,6,2.5455844122715714,0.5091168824543143,1,275.9430288965318,True,,0.6251157512001122,0.24556865927784555,1.2278432963892276,0.9993136260202354,2.1229652218114468,0.027311924020827896,0.0107291370457662,13.883917480111249,0.0,1.0,1.0,0.2805265556863271,0.28,0.09789385526827576,0.03210614473172424,0.09524283142711752,0,0,0,0,6144,0,148,297,322,344,HOLD,384,settled,True,19.200000000000003,21.245953683223355
0.2,7,2.5455844122715714,0.5091168824543143,1,201.32050447239965,True,,0.66074364096407,0.25956461619532406,1.2978230809766202,0.9875695454739667,9.043406165719986,0.10516469697621425,0.04131259465183861,13.121509937351986,0.02158473993833721,0.975,0.975,0.28000884850525454,0.28,0.08366917888693515,0.04633082111306486,0.09998242324913467,0,0,0,0,2944,0,72,109,129,143,HOLD,184,settled,True,9.200000000000001,21.0189435513427
0.2,8,2.5455844122715714,0.5091168824543143,1,357.6946179453914,True,,0.5583961644274809,0.2193587302529056,1.096793651264528,0.9965661092142046,4.749580188663444,0.04681788182700196,0.018391800955924173,15.58255116536269,0.0,1.0,1.0,0.294058232265334,0.28,0.0954974199844898,0.03450258001551021,0.09279845097040748,0,0,0,0,4288,0,89,221,221,228,HOLD,268,settled,True,13.4,19.267531282272927
0.2,9,2.5455844122715714,0.5091168824543143,1,55.21178356827038,False,"G500: 6 scaled-barrier event(s), smallest factor 0.832; the contract allows 0",0.6507345840484737,0.25563268729626837,1.278163436481342,0.9829635424635256,10.591214960342942,0.12167840000680047,0.04779978987152103,13.32702442020019,0.0,1.0,1.0,0.28073092871211786,0.28,0.08438083835734789,0.04561916164265212,0.0965665306766473,6,0,0,0,3904,0,70,71,120,203,HOLD,244,settled,True,12.200000000000001,20.797826265749382
