shape,seed,alpha,yaw_deg,diameter_m,perimeter_m,area_m2,mass_kg,object_reach_m,concavity_ratio,vertex_count,target_distance_m,shape_scale_factor,annulus_min_m,annulus_max_m,case_id,sampler_attempts,goal_angle_deg,J,J_over_diameter,target_over_diameter,J_over_target,efficiency,direction_error_deg,max_cross_track,max_cross_track_over_diameter,rotation_deg,max_strict_coverage,final_strict_coverage,min_inter_agent_distance,d_min,min_signed_clearance,max_penetration,penetration_budget,solver_fallbacks,solver_infeasible,barrier_scalings,min_barrier_scale,margin_relaxations,solves,first_detection_frame,contact_ready_frame,transport_frame,brake_frame,hold_frame,final_phase,frames_run,terminated_by,settled,completion_time_s,wall_seconds,fps,success,domain_eligible,finite_time_eligible,formal_caging,map_complete,runtime_map_gap_m,runtime_map_gap_required_m,runtime_domain_eligible,certified_inscribed_radius,required_boundary_agents,failure_class
circle,0,0.1,295.9095771000572,1.8315789473684216,5.751764434843443,2.630530252071159,2.630530252071159,0.9157894736842793,7.438494264988549e-15,64,0.1831578947368422,1.5789473684210527,1.2658,2.0658,circle__a0.10__seed000,1,213.89921974319353,0.20522626961124085,0.11204882536245905,0.1,1.1204882536245904,0.9119680465848317,24.22124631200588,0.09232383021171234,0.0504066889086935,0.0,1.0,1.0,0.29331964582811154,0.28,0.08834093500103447,0.04165906499896553,0.09329408984030889,0,0,0,1.0,0,2448,0,81,82,105,113,HOLD,153,settled,True,7.65,5.465923300000213,27.991611225132637,True,True,False,False,True,0.032544353743525045,0.1,True,0.9146863651562468,10,SUCCESS
circle,1,0.1,294.62286448116544,1.8315789473684219,5.751764434843441,2.630530252071159,2.630530252071159,0.9157894736848755,9.403589018575076e-14,64,0.1831578947368422,1.5789473684210527,1.2658,2.0658,circle__a0.10__seed001,1,67.05487627201978,0.15012779440950133,0.08196632453392311,0.1,0.8196632453392311,0.7380472539283677,42.434663830388516,0.13725216486430683,0.07493652679373071,0.0,1.0,1.0,0.28033081459964077,0.28,0.07311508089757655,0.05688491910242345,0.08793167869235537,0,0,21,0.20703125,7,48000,0,56,57,1085,,BRAKE,3000,watchdog,False,150.0,114.38516989999971,26.227176150743365,False,True,False,False,True,0.030100804355597754,0.1,True,0.9146863651556496,10,TRANSPORT_STALL
circle,2,0.1,7.169352360693546,1.8315789473684219,5.751764434843443,2.6305302520711598,2.6305302520711598,0.9157894736847875,0.0,64,0.1831578947368422,1.5789473684210527,1.2658,2.0658,circle__a0.10__seed002,1,78.6348106982665,0.13228069604626827,0.07222221910572114,0.1,0.7222221910572115,0.820276041402381,34.88756389228334,0.09223761374889117,0.05035961670198079,0.0,1.0,1.0,0.28031042076653045,0.28,0.07587995646840574,0.05412004353159426,0.08720534048212197,0,0,0,1.0,0,48000,0,96,149,2001,,BRAKE,3000,watchdog,False,150.0,105.54688189999979,28.423388223276408,False,True,False,False,True,0.030606031509106138,0.1,True,0.9146863651557392,10,TRANSPORT_STALL
circle,3,0.1,345.65282214594936,1.8315789473684216,5.751764434843441,2.630530252071159,2.630530252071159,0.9157894736844683,0.0,64,0.1831578947368422,1.5789473684210527,1.2658,2.0658,circle__a0.10__seed003,1,30.576349067927193,0.012256319390183209,0.00669166863257129,0.1,0.06691668632571289,0.7529380475389539,41.15447437673568,0.01082136154777711,0.005908214638154168,0.0,1.0,1.0,0.280006211638086,0.28,0.0936325319445172,0.0363674680554828,0.08435626569276214,0,0,63,0.0,10,48000,0,71,72,,,TRANSPORT,3000,watchdog,False,150.0,109.11608079999951,27.493656095463553,False,True,False,False,True,0.03319960920108714,0.1,True,0.9146863651560572,10,TRANSPORT_STALL
circle,4,0.1,65.81690614644336,1.8315789473684214,5.751764434843442,2.630530252071159,2.630530252071159,0.9157894736847688,0.0,64,0.18315789473684216,1.5789473684210527,1.2658,2.0658,circle__a0.10__seed004,1,157.4812119101344,0.21692687704186656,0.11843708804009953,0.1,1.1843708804009951,0.9934460232897327,6.563380145750744,0.025775636834136126,0.014072905168062824,0.0,1.0,1.0,0.32797003123515417,0.28,0.0869308995900959,0.04306910040990411,0.0946834130251279,0,0,0,1.0,0,2528,0,70,109,110,117,HOLD,158,settled,True,7.9,4.978434099999504,31.7368869058678,True,True,False,False,True,0.03334702396919083,0.1,True,0.914686365155757,10,SUCCESS
circle,0,0.4,295.9095771000572,1.8315789473684216,5.751764434843443,2.630530252071159,2.630530252071159,0.9157894736842793,7.438494264988549e-15,64,0.7326315789473687,1.5789473684210527,1.2658,2.0658,circle__a0.40__seed000,1,213.89921974319353,0.8169544588906742,0.4460383539920346,0.4,1.1150958849800865,0.9722142149422812,13.538162710510782,0.19670901288529785,0.10739859898909937,0.0,1.0,1.0,0.28649417114822356,0.28,0.07312167040265381,0.05687832959734619,0.0939146989808415,0,0,0,1.0,0,3584,0,81,82,156,183,HOLD,224,settled,True,11.200000000000001,7.2470689000001585,30.90904793246758,True,True,False,False,True,0.031613185957726365,0.1,True,0.9146863651562468,10,SUCCESS
circle,1,0.4,294.62286448116544,1.8315789473684219,5.751764434843441,2.630530252071159,2.630530252071159,0.9157894736848755,9.403589018575076e-14,64,0.7326315789473687,1.5789473684210527,1.2658,2.0658,circle__a0.40__seed001,1,67.05487627201978,0.15948091124850622,0.08707291131383957,0.4,0.2176822782845989,0.728842242708501,43.21057721071438,0.1498179575544868,0.08179716073377148,0.0,1.0,1.0,0.2806974473426627,0.28,0.06856968318846456,0.06143031681153545,0.08690571132151742,0,0,26,0.26953125,8,48000,0,56,57,,,TRANSPORT,3000,watchdog,False,150.0,130.0704424000005,23.064425280989038,False,True,False,False,True,0.032908418995281054,0.1,True,0.9146863651556496,10,TRANSPORT_STALL
circle,2,0.4,7.169352360693546,1.8315789473684219,5.751764434843443,2.6305302520711598,2.6305302520711598,0.9157894736847875,0.0,64,0.7326315789473687,1.5789473684210527,1.2658,2.0658,circle__a0.40__seed002,1,78.6348106982665,0.32535401380687895,0.17763581213593957,0.4,0.44408953033984894,0.7156419222840509,44.304168252684676,0.3175458965885327,0.1733727596316701,0.0,1.0,1.0,0.28115707566665454,0.28,0.08185392743418506,0.04814607256581495,0.09591551095315419,0,0,0,1.0,0,48000,0,96,149,,,TRANSPORT,3000,watchdog,False,150.0,131.1537174999994,22.87392273116478,False,True,False,False,True,0.031725952223710795,0.1,True,0.9146863651557392,10,TRANSPORT_STALL
circle,3,0.4,345.65282214594936,1.8315789473684216,5.751764434843441,2.630530252071159,2.630530252071159,0.9157894736844683,0.0,64,0.7326315789473687,1.5789473684210527,1.2658,2.0658,circle__a0.40__seed003,1,30.576349067927193,0.011564280692584961,0.006313831412618224,0.4,0.015784578531545558,0.7301717559398802,43.09920510778299,0.01082136154777711,0.005908214638154168,0.0,1.0,1.0,0.280006211638086,0.28,0.0936325319445172,0.0363674680554828,0.08435626569276214,0,0,63,0.0,10,48000,0,71,72,,,TRANSPORT,3000,watchdog,False,150.0,132.99205389999952,22.557738692085955,False,True,False,False,True,0.03169176125766904,0.1,True,0.9146863651560572,10,TRANSPORT_STALL
circle,4,0.4,65.81690614644336,1.8315789473684214,5.751764434843442,2.630530252071159,2.630530252071159,0.9157894736847688,0.0,64,0.7326315789473686,1.5789473684210527,1.2658,2.0658,circle__a0.40__seed004,1,157.4812119101344,0.8602586510953952,0.46968144743714096,0.4,1.1742036185928524,0.9989426397399124,2.6350411194955417,0.04346546645902777,0.023731145480503663,0.0,1.0,1.0,0.3176704585833094,0.28,0.0869308995900959,0.04306910040990411,0.09856710668218863,0,0,0,1.0,0,3264,0,70,117,144,163,HOLD,204,settled,True,10.200000000000001,9.433002300000226,21.626200599992977,True,True,False,False,True,0.03263409269531896,0.1,True,0.914686365155757,10,SUCCESS
