case_id,shape,seed,position_class,yaw_deg,surface_density,ground_friction,contact_friction,vertex_count,goal_angle_deg,diameter_m,perimeter_m,domain_eligible,finite_time_eligible,theorem_eligible,termination,task_success,success_given_eligible,failure_class,frame,wall_seconds,fps,J_m,efficiency,max_cross_track_error_m,max_abs_rotation_deg,max_penetration_m,operational_enclosure_maintained,fallbacks,infeasible,rho_relaxations
circle__seed_000,circle,0,center,262.54648308551936,0.8,0.15,0.4,96,-121.93613659280355,1.1600000000000006,3.642784142067513,True,False,False,SUCCESS_HOLD,True,True,SUCCESS,327,9.16995740000857,35.65992574836764,0.11866800910486552,0.9982848369895576,0.0069592202109874796,4.036414647250814,0.013971849707478418,True,0,0,0
rectangle__seed_000,rectangle,0,edge,46.50815208630955,2.2,0.3,0.6,,-121.93613659280355,1.3567977004697493,3.7399999999999993,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,378,16.501481499988586,22.907034135102442,0.07664929640054577,0.9999986684324335,0.005043056731283002,5.466943362875331,0.01325139588344626,True,0,0,0
ellipse24__seed_000,ellipse24,0,corner,357.58259839781886,1.5,0.45,0.8,24,-121.93613659280355,1.4399999999999997,3.6332971918598282,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,345,12.309041000000434,28.02817863714873,0.0844939376158449,0.8859262944831582,0.04423673754886211,2.684208339829481,0.011088424307490685,False,0,0,0
l_shape__seed_000,l_shape,0,random,150.13354941300088,0.8,0.15,0.4,,-121.93613659280355,1.6122034611053275,4.559999999999999,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,366,19.17100559998653,19.091330295175396,0.201985689955824,0.7636375325515424,0.1707761664196246,9.805539170209709,0.014237234521568942,False,0,0,0
u_shape__seed_000,u_shape,0,center,80.0081172593723,2.2,0.3,0.6,8,-121.93613659280355,1.70293863659264,6.299999999999998,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,333,18.19354479998583,18.30319509809102,0.07908240615092274,0.9617318177133685,0.022978247461278117,5.143888760469052,0.014011315933405377,True,0,0,0
c_shape__seed_000,c_shape,0,edge,356.0678098233227,1.5,0.45,0.8,8,-121.93613659280355,1.7029386365926402,6.6000000000000005,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,336,13.642692699999316,24.628569109382408,0.08757233220178541,0.8859690478735225,0.05156496201187491,2.537709960187825,0.0103594094828387,False,0,0,0
star10__seed_000,star10,0,corner,129.99678586310552,0.8,0.15,0.4,10,-121.93613659280355,1.331479122813215,4.69582698443549,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,339,16.979982299992116,19.96468512220754,0.1833737341606494,0.8805738530978029,0.09868843232381562,45.468846460075994,0.00760668147875368,False,0,0,0
convex_random__seed_000,convex_random,0,random,260.91002928503667,2.2,0.3,0.6,8,-121.93613659280355,1.6617348358575277,4.134419986415793,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,381,17.972582699992927,21.198956563997335,0.0821401295460551,0.998731874400722,0.0070673698514124375,10.267592427438114,0.011215857146753105,True,0,0,0
concave_random7__seed_000,concave_random7,0,center,315.6412039401132,1.5,0.45,0.8,7,-121.93613659280355,1.086192929559702,3.1853458891543496,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,327,11.464575599995442,28.522643262968234,0.07799691223429683,0.9952295178085073,0.00790888565475926,3.552024947288353,0.01264450776491699,True,0,0,0
concave_random15__seed_000,concave_random15,0,edge,202.31885129177655,0.8,0.15,0.4,15,-121.93613659280355,1.3460886495707853,4.409848351372869,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,402,23.8940019000147,16.824306019652266,0.131058286751172,0.9674855832302423,0.10646726306573856,13.772751721826982,0.01236672732270222,False,0,0,0
