case_id,shape,seed,position_class,yaw_deg,surface_density,ground_friction,contact_friction,vertex_count,goal_angle_deg,diameter_m,perimeter_m,domain_eligible,finite_time_eligible,theorem_eligible,termination,task_success,success_given_eligible,failure_class,frame,wall_seconds,fps,J_m,efficiency,max_cross_track_error_m,max_abs_rotation_deg,max_penetration_m,operational_enclosure_maintained,fallbacks,infeasible,rho_relaxations
circle__seed_000,circle,0,center,262.54648308551936,0.8,0.15,0.4,96,-121.93613659280355,1.1600000000000006,3.642784142067513,True,False,False,SUCCESS_HOLD,True,True,SUCCESS,339,16.44652430000133,20.612257873839802,0.19397624678694364,0.9976995994601001,0.01561054922555967,7.374942140490512,0.014083901375300245,True,0,0,0
rectangle__seed_000,rectangle,0,edge,46.50815208630955,2.2,0.3,0.6,,-121.93613659280355,1.3567977004697493,3.7399999999999993,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,330,10.40810150001198,31.70607050667407,0.08204238080477537,0.9997278147122407,0.004538541499307953,2.7155010334379193,0.011090643771555164,True,0,0,0
ellipse24__seed_000,ellipse24,0,corner,357.58259839781886,1.5,0.45,0.8,24,-121.93613659280355,1.4399999999999997,3.6332971918598282,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,348,9.17604350001784,37.92484200835833,0.08020267828321707,0.9113613916364662,0.036222724603447956,2.686880653686474,0.010926822783910467,False,0,0,0
l_shape__seed_000,l_shape,0,random,150.13354941300088,0.8,0.15,0.4,,-121.93613659280355,1.6122034611053275,4.559999999999999,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,336,12.875056799995946,26.096972247928708,0.07448333047619507,0.962741603117671,0.024245758160075046,12.661516429749206,0.013239555849532403,True,0,0,0
u_shape__seed_000,u_shape,0,center,80.0081172593723,2.2,0.3,0.6,8,-121.93613659280355,1.70293863659264,6.299999999999998,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,339,13.34259749998455,25.407346657979645,0.08887285115447403,0.9727515236713651,0.021694193805108314,2.4490875635441096,0.013443899324396408,True,0,0,0
c_shape__seed_000,c_shape,0,edge,356.0678098233227,1.5,0.45,0.8,8,-121.93613659280355,1.7029386365926402,6.6000000000000005,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,345,10.055512399994768,34.309539511897924,0.0772083874978583,0.8912803522174515,0.03928096272547173,1.7733378773962858,0.010117902431497794,False,0,0,0
star10__seed_000,star10,0,corner,129.99678586310552,0.8,0.15,0.4,10,-121.93613659280355,1.331479122813215,4.69582698443549,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,339,18.20074190001469,18.62561437672639,0.1768694613573133,0.9300116611917458,0.06989679597176851,28.838216589067684,0.008569961551689598,False,0,0,0
convex_random__seed_000,convex_random,0,random,260.91002928503667,2.2,0.3,0.6,8,-121.93613659280355,1.6617348358575277,4.134419986415793,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,360,10.471263100014767,34.379806577440725,0.07748405253001472,0.9940589967390087,0.008483968818533125,11.116047730450594,0.011251233088201945,True,0,0,0
concave_random7__seed_000,concave_random7,0,center,315.6412039401132,1.5,0.45,0.8,7,-121.93613659280355,1.086192929559702,3.1853458891543496,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,327,20.75298109999858,15.75677240895393,0.07583675707495668,0.9859227174983398,0.01743531425134382,4.257111656913218,0.012807319460774902,True,0,0,0
concave_random15__seed_000,concave_random15,0,edge,202.31885129177655,0.8,0.15,0.4,15,-121.93613659280355,1.3460886495707853,4.409848351372869,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,342,43.91086189998896,7.7885057409926635,0.07659168037283198,0.9906137852888194,0.010568563871083458,14.891621805273823,0.013713372204272711,False,0,0,8
high_aspect__seed_000,high_aspect,0,corner,84.24872770161949,2.2,0.3,0.6,,-121.93613659280355,1.6194134740701651,3.7000000000000006,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,345,21.97810649999883,15.697439631572372,0.08855019073432975,0.8665432256751692,0.0510021644535407,3.20241068428013,0.0043374373486506634,False,0,0,0
polygon32__seed_000,polygon32,0,random,16.111286554303035,1.5,0.45,0.8,32,-121.93613659280355,1.2749532666134789,4.094237597726095,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,414,42.26648279998335,9.79499529116634,0.08959308726069201,0.9987806787034428,0.008894327015031605,6.832584647075141,0.014253971455185227,False,0,0,0
circle__seed_001,circle,1,edge,17.85163620845264,1.5,0.45,0.6,96,-84.16317165138723,1.1600000000000008,3.642784142067513,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,444,30.383216999995057,14.613330774028052,0.08084533741878279,0.9998600100221432,0.008674340053835185,0.016343006729078065,0.012114150841257276,True,0,0,0
rectangle__seed_001,rectangle,1,corner,40.78965765634334,0.8,0.15,0.8,,-84.16317165138723,1.3567977004697496,3.74,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,333,31.28467510000337,10.644189173630387,0.15363215543626343,0.7946997271721266,0.11734638668953103,12.18375291197762,0.0013052209004066062,False,0,0,0
